ImageID,Caption,Nouns,Type
sun_boeueaxvgaxyvspe,a boat on the river with buildings in the background,"['boat', 'river', 'buildings', 'background']",OOD
sun_bmcorvkkaqwhlngp,a pond with a bridge and a golf course,"['pond', 'bridge', 'golf', 'course']",OOD
sun_balsjthjwezwzsfk,people selecting a christmas tree at a christmas tree farm,"['people', 'tree', 'tree', 'farm']",OOD
sun_aurpopfuazgzmdya,a field of yellow flowers in a field,"['field', 'flowers', 'field']",OOD
sun_atslucdgxccvbvtb,a dirt road in the woods with trees,"['dirt', 'road', 'woods', 'trees']",OOD
sun_blqzfcckzclwhxvj,a view of the vineyard from under a tree,"['view', 'vineyard', 'tree']",OOD
sun_acrvwdwcnqgbvcbi,a field of grass with trees in the background,"['field', 'grass', 'trees', 'background']",OOD
sun_bktjeoknolwummvf,a view of the butchart gardens from above,"['view', 'butchart', 'gardens']",OOD
sun_bwcbpsqzpixwnwhf,a cluster of mango trees in a field,"['cluster', 'mango', 'trees', 'field']",OOD
sun_aukazpjtihptzwld,a mountain in the middle of a body of water,"['mountain', 'middle', 'body', 'water']",OOD
sun_bkwsnxmydjylkvqo,a stream running through some rocks in the woods,"['stream', 'rocks', 'woods']",OOD
sun_atuvmptukfwuhcaf,a view of a cave in a rock wall,"['view', 'cave', 'rock', 'wall']",OOD
sun_adjlepvuitklskrz,a mountain with a blue sky in the background,"['mountain', 'sky', 'background']",OOD
sun_aievdpdzorqiplwy,a field of hay bales in a field,"['field', 'hay', 'bales', 'field']",OOD
sun_autngwcuannuiwlf,a path of ice on the water with a building in the distance,"['path', 'ice', 'water', 'building', 'distance']",OOD
sun_brswjranmruwfiwg,a man standing next to a dog in a stream,"['man', 'dog', 'stream']",OOD
sun_bbuxljnyqysrpckm,a tree in the middle of a vineyard,"['tree', 'middle', 'vineyard']",OOD
sun_bxotgjfgmjhwaxwy,a close up of a waterfall on a rock,"['close', 'waterfall', 'rock']",OOD
sun_aieudxgcttaxlaec,a view of the badlands from a dirt road in the middle of the desert,"['view', 'badlands', 'dirt', 'road', 'middle', 'desert']",OOD
sun_dacizpfwylgvhrus,a path in a forest with trees,"['path', 'forest', 'trees']",OOD
sun_btbbfxbrtucqtath,a garden with a fence and some plants in it,"['garden', 'fence', 'plants']",OOD
sun_amtuxmzysckzolrp,a field of wheat in the middle of the day,"['field', 'wheat', 'middle', 'day']",OOD
sun_atsunnzmngojgcot,a tree in the middle of a lush green forest,"['tree', 'middle', 'forest']",OOD
sun_akmqscwdpatnwkxe,a wave crashing on the shore of a beach,"['wave', 'shore', 'beach']",OOD
sun_bcmlctjxdcxijrxi,a rock formation with an arch in the ocean,"['rock', 'formation', 'arch', 'ocean']",OOD
sun_avqahgdnxxemgnje,a boat in the water near some trees,"['boat', 'water', 'trees']",OOD
sun_bfptvvkkrjfkwmss,two bikes parked on a bridge over a canal in amsterdam,"['bikes', 'bridge', 'canal']",OOD
sun_bolfhwtizbvyjmem,a rainbow in front of the waterfalls,"['front', 'waterfalls']",OOD
sun_ajnxwvketgpzztws,a road winding through a forest with trees in fall colors,"['road', 'forest', 'trees', 'fall', 'colors']",OOD
sun_bxddrqgaqzvulufw,the shadows of two people on the sand in the desert,"['shadows', 'people', 'sand', 'desert']",OOD
sun_auzxayavnnfcwhux,two people sitting on the beach near the ocean,"['people', 'beach', 'ocean']",OOD
sun_bqhjqnnzsawxvvvd,a river with boats parked on it,"['river', 'boats']",OOD
sun_aoiahkizdolwdqtu,a group of trees in the middle of a lake,"['group', 'trees', 'middle', 'lake']",OOD
sun_blbwhwaogxqsnspe,an iceberg in the ocean with a cloudy sky,"['iceberg', 'ocean', 'sky']",OOD
sun_byexidcvpkzwbkyb,a man pulling a suitcase down a snow covered road,"['man', 'suitcase', 'snow', 'road']",OOD
sun_awpuzjsczgivcmbb,a garden with many different types of plants in it,"['garden', 'types', 'plants']",OOD
sun_azuiwyamoairqsvn,a man standing in a field of wheat,"['man', 'field', 'wheat']",OOD
sun_anjrlspuunbskjle,a group of people in boats in the snow,"['group', 'people', 'boats', 'snow']",OOD
sun_atmvfpsflvwwdusz,a trail in the woods,"['trail', 'woods']",OOD
sun_bkpygjbxsvafzxvq,a boat is docked at a dock on a river,"['boat', 'dock', 'river']",OOD
sun_ajstqgfjpaguxpnq,a creek with moss covered rocks and trees,"['creek', 'rocks', 'trees']",OOD
sun_arvbnkbvvdcnqdgw,a tree cut in half in the middle of a forest,"['tree', 'half', 'middle', 'forest']",OOD
sun_arkwzkxzszoaacqm,a large cloud in a blue sky over a field,"['cloud', 'sky', 'field']",OOD
sun_avkzyopiwrdyqmkv,a river filled with water next to a field of trees,"['river', 'water', 'field', 'trees']",OOD
sun_bbuohkwrqmnaqkdb,a garden in a yard with a wooden fence,"['garden', 'yard', 'fence']",OOD
sun_buzpnbahojqqkvrt,a road in the fall with trees on both sides of it,"['road', 'fall', 'trees', 'sides']",OOD
sun_bcntjleitjrgvnth,a waterfall in a forest with logs,"['waterfall', 'forest', 'logs']",OOD
sun_afsjpteynazhmmpj,a lone tree in the middle of a desert,"['tree', 'middle', 'desert']",OOD
sun_aryysosahbqjlhyp,a large iceberg floating in the water,"['iceberg', 'water']",OOD
sun_axnrcihhrnmogphy,the sand and trees in the desert with a mountain in the background,"['sand', 'trees', 'desert', 'mountain', 'background']",OOD
sun_atjxpqbkrlqxercc,a large body of water with waves in the ocean,"['body', 'water', 'waves', 'ocean']",OOD
sun_bqvwxcsdmkvrvkpd,a tree in the middle of a field of crops and a barn,"['tree', 'middle', 'field', 'crops', 'barn']",OOD
sun_bllrmzpqvfqlwbjc,a road in the fall with trees on both sides of it,"['road', 'fall', 'trees', 'sides']",OOD
sun_ablnwzudvwerflmr,a trail in the middle of a forest,"['trail', 'middle', 'forest']",OOD
sun_aavmjsbjgqgddgbj,a forest of trees and ferns on a cloudy day,"['forest', 'trees', 'ferns', 'day']",OOD
sun_awwvpnpbphrjymcl,a cloud in the sky with the sun behind it,"['cloud', 'sky', 'sun']",OOD
sun_bhtjutyciamzamkv,a view of the badlands in the desert,"['view', 'badlands', 'desert']",OOD
sun_bktzgtzgsiamkuvk,a farm in a field with a barn and other buildings,"['farm', 'field', 'barn', 'buildings']",OOD
sun_bqwsqaqiborgyqri,a field of christmas trees in the snow,"['field', 'trees', 'snow']",OOD
sun_amajywmqlhhrkysp,corn field on a clear day with blue sky,"['corn', 'field', 'day', 'sky']",OOD
sun_buxcojsrxqasrkhd,two people walking up a snow covered slope on skis,"['people', 'snow', 'slope', 'skis']",OOD
sun_bizregtobozszxps,two people walking up a mountain of rocks,"['people', 'mountain', 'rocks']",OOD
sun_awmlgiaschbynarp,a waterfall on a mountain in the forest,"['waterfall', 'mountain', 'forest']",OOD
sun_alqpyumrudgnzdxz,a desert with trees and a mountain in the background,"['desert', 'trees', 'mountain', 'background']",OOD
sun_aucxqplfgkjwgjrf,a snow covered forest with the sun shining through the trees,"['snow', 'forest', 'sun', 'trees']",OOD
sun_btdxkvgfqqsahlwx,a waterfall on the side of a river,"['waterfall', 'side', 'river']",OOD
sun_aywgxfriyohmclhq,a sunset over a field with a city skyline in the background,"['sunset', 'field', 'city', 'skyline', 'background']",OOD
sun_aibhaunmmjmqpciy,a path through a forest of trees and ferns,"['path', 'forest', 'trees', 'ferns']",OOD
sun_bruuyterwsnuojhb,a small pond in a field with mountains in the background,"['pond', 'field', 'mountains', 'background']",OOD
sun_aykoruvxtcyyduui,a large field of sunflowers with a blue sky,"['field', 'sunflowers', 'sky']",OOD
sun_bbqlzqeivhkkapne,a tree in the middle of a green field,"['tree', 'middle', 'field']",OOD
sun_blzqxkmpmunrmauy,two people skiing down a snow covered slope,"['people', 'snow', 'slope']",OOD
sun_axkzjaojqwuwnbpb,a flooded rice field with trees and mountains in the background,"['rice', 'field', 'trees', 'mountains', 'background']",OOD
sun_bukcmkgcvrpcuajn,a young boy walking down a path in a vineyard,"['boy', 'path', 'vineyard']",OOD
sun_boxhpekvemzuotrn,a view of a field with mountains in the background,"['view', 'field', 'mountains', 'background']",OOD
sun_bfifciawrubsakki,a garden of manicured hedges in a park,"['garden', 'hedges', 'park']",OOD
sun_aupolhlheysqufiq,a woman carrying a jug in a cave,"['woman', 'jug', 'cave']",OOD
sun_aqalzlnjsitzfbde,a boat on a river with palm trees in the background,"['boat', 'river', 'palm', 'trees', 'background']",OOD
sun_bynuhpbketqvxudd,a group of people riding camels on the beach,"['group', 'people', 'camels', 'beach']",OOD
sun_bzpumfucozurlgtw,a park bench sitting in the middle of a lawn,"['park', 'bench', 'middle', 'lawn']",OOD
sun_aerikalammjsuonf,a boat is traveling down a river,"['boat', 'river']",OOD
sun_aksufrivxcbmtaiu,a woman walking down a path in a park,"['woman', 'path', 'park']",OOD
sun_bonbsorfftjeuufx,a body of water with a house in the background,"['body', 'water', 'house', 'background']",OOD
sun_bynbtwftyktzgvkp,a river with a bridge over it,"['river', 'bridge']",OOD
sun_absizbuqygehvgpu,a group of trees with pink flowers in a field,"['group', 'trees', 'flowers', 'field']",OOD
sun_buqouosqrkvlywbn,a view of a vineyard with mountains in the background,"['view', 'vineyard', 'mountains', 'background']",OOD
sun_aysajafsgmwthwwh,a forest with moss covered trees and plants,"['forest', 'trees', 'plants']",OOD
sun_aquxijgpxlvcdtwb,a dirt trail in the woods with trees,"['dirt', 'trail', 'woods', 'trees']",OOD
sun_ahzywycfwuyjylhk,the sun setting over the ocean on a beach,"['sun', 'ocean', 'beach']",OOD
sun_bzhpjnftpqantghl,a field of green beans with a white flower in the middle,"['field', 'beans', 'flower', 'middle']",OOD
sun_aivttgppoezuqgqo,a large field of grass with trees in the background,"['field', 'grass', 'trees', 'background']",OOD
sun_ajlrcoagxvonwgwn,a foggy morning on the river,"['morning', 'river']",OOD
sun_avjrgachnxkouulg,a large field with hay bales on it,"['field', 'hay', 'bales']",OOD
sun_bffvoglcxkecmshf,a river with brown water and green grass,"['river', 'water', 'grass']",OOD
sun_bsiqhhdnthivktoq,a canal with a boat in the water,"['canal', 'boat', 'water']",OOD
sun_aizvlbkogeqyqdwg,a small waterfall on a rock,"['waterfall', 'rock']",OOD
sun_agogpnorfftbqxzn,a close up of a rock with ice crystals on it,"['close', 'rock', 'ice', 'crystals']",OOD
sun_aakzptgwfdzpuocq,a body of water in a field with trees,"['body', 'water', 'field', 'trees']",OOD
sun_ayktoobsfivecidl,a rock in the middle of the ocean under a blue sky,"['rock', 'middle', 'ocean', 'sky']",OOD
sun_awbiqxafovdniaqa,a field of wheat with a blue sky and clouds,"['field', 'wheat', 'sky', 'clouds']",OOD
sun_bchdczsxxzeneayc,a man standing on a wall next to a river,"['man', 'wall', 'river']",OOD
sun_botcbqxkungjmspm,a group of rock formations in the desert,"['group', 'rock', 'formations', 'desert']",OOD
sun_aeupwbzjhsfgqzrw,a close up of a rock in a cave,"['close', 'rock', 'cave']",OOD
sun_buzwlclibjlewjbb,a city at night with buildings and street signs,"['city', 'night', 'buildings', 'street', 'signs']",OOD
sun_blgqfmhajgcyjzos,a man is shoveling dirt in a garden,"['man', 'dirt', 'garden']",OOD
sun_benvjyisancfngvq,a body of water with a bridge over it,"['body', 'water', 'bridge']",OOD
sun_bcpmvofllwtkeoad,a large rock formation in the desert under a cloudy blue sky,"['rock', 'formation', 'desert', 'sky']",OOD
sun_abdzccycoipeevzc,an apple tree with red apples on it,"['apple', 'tree', 'apples']",OOD
sun_btpwxzbarctnpoaf,a garden with flowers and a path in the middle,"['garden', 'flowers', 'path', 'middle']",OOD
sun_bpogfzdasaopfkdm,a bear sleeping on a chunk of ice in the water,"['bear', 'chunk', 'ice', 'water']",OOD
sun_bxycsrnpzdcutgvz,a group of houses next to a river,"['group', 'houses', 'river']",OOD
sun_apdhxxfqzmlzawza,a waterfall in the woods with rocks,"['waterfall', 'woods', 'rocks']",OOD
sun_aqikzlwdrrefknyr,a stone cave with a stone bench in it,"['stone', 'cave', 'stone', 'bench']",OOD
sun_aetomywauqoczrlu,a man digging a hole in the soil with a shovel,"['man', 'hole', 'soil', 'shovel']",OOD
sun_awidrcxwkldxnsfm,a large body of water in the middle of a field,"['body', 'water', 'middle', 'field']",OOD
sun_byshnypuwftlwwcm,a dirt road with trees and bushes on both sides,"['dirt', 'road', 'trees', 'bushes', 'sides']",OOD
sun_acbzrogxsilovusf,a group of palm trees on the water,"['group', 'palm', 'trees', 'water']",OOD
sun_anovysxiyidubdgs,a snow covered path through trees,"['snow', 'path', 'trees']",OOD
sun_awtooeuenemnddlr,a close up of a stream with rocks,"['close', 'stream', 'rocks']",OOD
sun_ajcopavjqtimjnsa,a river flowing through a lush green forest,"['river', 'forest']",OOD
sun_acknjtmunzndlkvo,two people in boats on the water near a field,"['people', 'boats', 'water', 'field']",OOD
sun_aiaepdnehkfzmnca,a cave in the underground tunnel of the underground tunnel of the underground tunnel of the,"['cave', 'tunnel', 'tunnel', 'tunnel']",OOD
sun_bkahzgsyifftdwwg,a group of camels walking across a desert,"['group', 'camels', 'desert']",OOD
sun_ajvtefronkamwvma,a field of green grass under a cloudy sky,"['field', 'grass', 'sky']",OOD
sun_awjbzitzrpuxkfpz,two icebergs in the water near some rocks,"['icebergs', 'water', 'rocks']",OOD
sun_brzehwlrtzvrphhm,a body of water next to a tree,"['body', 'water', 'tree']",OOD
sun_bymyhlxdzflgutao,a stream flowing through a forest with trees,"['stream', 'forest', 'trees']",OOD
sun_bwuqrccizfisqcxi,a stream in the woods with trees reflected in it,"['stream', 'woods', 'trees']",OOD
sun_ahjiaugjaocypojm,a park with a field of grass and trees,"['park', 'field', 'grass', 'trees']",OOD
sun_aiultilzdwtevvxc,a woman standing on skis in the snow next to trees,"['woman', 'skis', 'snow', 'trees']",OOD
sun_bgzwzhdhtxdbnpdl,a group of students standing around a raised garden bed,"['group', 'students', 'garden', 'bed']",OOD
sun_azazkocmdcafcmzx,a little boy standing in a wooden container in the grass,"['boy', 'container', 'grass']",OOD
sun_aaxrfcondpfwzvwl,a view of a body of water with trees in the background,"['view', 'body', 'water', 'trees', 'background']",OOD
sun_aumcjogqstlttpej,a garden with many colorful flowers and trees,"['garden', 'flowers', 'trees']",OOD
sun_awbzwnvtiwoqvnfs,a field of yellow flowers in a field,"['field', 'flowers', 'field']",OOD
sun_abgvpjpmrdkncxnb,a dirt road with a bridge and trees,"['dirt', 'road', 'bridge', 'trees']",OOD
sun_bzrgeykteppynybl,a couple of men standing in the woods looking up at a tree,"['couple', 'men', 'woods', 'tree']",OOD
sun_azwylgqajbwgctgh,a waterfall on the side of a rock,"['waterfall', 'side', 'rock']",OOD
sun_amcogwpvaleclgkd,a row of apple trees in a field,"['row', 'apple', 'trees', 'field']",OOD
sun_abhucdweiguoztut,an iceberg in the middle of the ocean,"['iceberg', 'middle', 'ocean']",OOD
sun_bgeymjtbjwcikatg,a creek in the woods with moss covered rocks,"['creek', 'woods', 'rocks']",OOD
sun_ayrmwiwipvsksrtz,the sun shining over the ocean on a clear day,"['sun', 'ocean', 'day']",OOD
sun_bslrghjahsfswxwe,a large tree in a forest with other trees,"['tree', 'forest', 'trees']",OOD
sun_btftvxdchuahiawy,a bridge over a river with a car on it,"['bridge', 'river', 'car']",OOD
sun_brdbznhxpubknupd,a man fly fishing in a river,"['man', 'river']",OOD
sun_aeysarkarsqmuarj,a small island with palm trees in the middle of a body of water,"['island', 'palm', 'trees', 'middle', 'body', 'water']",OOD
sun_bopwvilnxiwkwhtr,two snow vehicles in the snow,"['snow', 'vehicles', 'snow']",OOD
sun_bouefbengbwzxyjm,an image of a waterfall with moss on it,"['image', 'waterfall']",OOD
sun_bkizsugjzcqqnmaz,a glacier with mountains in the background and a blue sky,"['glacier', 'mountains', 'background', 'sky']",OOD
sun_bdxhnbgbnolddswz,a group of grape vines growing on a fence,"['group', 'grape', 'vines', 'fence']",OOD
sun_aexltwrcspiadblf,a large field of crops with mountains in the background,"['field', 'crops', 'mountains', 'background']",OOD
sun_aotwefjxtxqjgurs,an underground cave with a light in it,"['cave', 'light']",OOD
sun_bpdksluhidmzqlte,a pool of water in a forest with trees,"['pool', 'water', 'forest', 'trees']",OOD
sun_bsjbhasmxmpfyhfz,a group of skiers walking up a mountain in the snow,"['group', 'skiers', 'mountain', 'snow']",OOD
sun_bwebusdtlbwvaihy,two children standing in a vegetable garden,"['children', 'vegetable', 'garden']",OOD
sun_axcalkniqjwneyzm,a small island with a cell phone tower in the middle of the ocean,"['island', 'cell', 'phone', 'tower', 'middle', 'ocean']",OOD
sun_bqorursqtqxcvgkf,a road with trees on the side of it,"['road', 'trees', 'side']",OOD
sun_bwfmqkcsursirvwu,a man walking on a cliff with a lake in the background,"['man', 'cliff', 'lake', 'background']",OOD
sun_bumxikkejhzanjui,a small pool of water in front of a house,"['pool', 'water', 'front', 'house']",OOD
sun_azisbnxqohaabzrk,an overhead view of a bridge in the night,"['view', 'bridge', 'night']",OOD
sun_avwovvnfjvydjzro,a field of yellow dandelions with trees in the background,"['field', 'dandelions', 'trees', 'background']",OOD
sun_aexanwgfjsfijyaa,a river flowing through some rocks and trees,"['river', 'rocks', 'trees']",OOD
sun_ayrpfirwnfhhlfdn,a view of the ocean with rocks in the water,"['view', 'ocean', 'rocks', 'water']",OOD
sun_agdjkubvzjhgtuul,a house in the middle of a lush green field,"['house', 'middle', 'field']",OOD
sun_bqhbnjejdmwfpifm,a view of the top of a snow covered mountain with rocks,"['view', 'top', 'snow', 'mountain', 'rocks']",OOD
sun_aubwxilezeqnuaoq,the sun shining through the clouds in a blue sky,"['sun', 'clouds', 'sky']",OOD
sun_aaktidlqfwmplzqb,a garden in front of a white fence,"['garden', 'front', 'fence']",OOD
sun_aeqgvtthlloqhwbg,a gate in the middle of a field of wheat,"['gate', 'middle', 'field', 'wheat']",OOD
sun_akywkphuykotjyvy,a group of people standing in a cave near a river,"['group', 'people', 'cave', 'river']",OOD
sun_axigfdtyybrtaftq,a man in a boat on a river with palm trees,"['man', 'boat', 'river', 'palm', 'trees']",OOD
sun_blqvtculfxjcyoih,a field of green vines under a cloudy sky,"['field', 'vines', 'sky']",OOD
sun_bkdlcawhrrerhvol,a river with a boat dock on the side of it,"['river', 'boat', 'dock', 'side']",OOD
sun_bzjpbfjibgdyzlbn,a field of icebergs in the snow with mountains in the background,"['field', 'icebergs', 'snow', 'mountains', 'background']",OOD
sun_axlmonjkujrorctc,a close up of the ceiling of a cave,"['close', 'ceiling', 'cave']",OOD
sun_bkukdjvduziykhmk,three people working in a field of crops,"['people', 'field', 'crops']",OOD
sun_aqiaykqftocrgyhv,a river in the middle of a forest,"['river', 'middle', 'forest']",OOD
sun_aaetebtkjxzlugai,a field of green grass with trees and a cloudy sky,"['field', 'grass', 'trees', 'sky']",OOD
sun_bfjfuddzfboarscv,a vegetable garden in a backyard with a greenhouse,"['vegetable', 'garden', 'backyard', 'greenhouse']",OOD
sun_ahgcthauyozgfacr,a man swimming in a pool of water in a cave,"['man', 'pool', 'water', 'cave']",OOD
sun_bmbkzguvlvfkbwlh,a group of potted plants sitting on a chair,"['group', 'plants', 'chair']",OOD
sun_baoinkqqiyirawix,a herd of horses grazing in a field with mountains,"['herd', 'horses', 'field', 'mountains']",OOD
sun_alzozzvwhejmlmrw,a view of the backwaters from a boat,"['view', 'backwaters', 'boat']",OOD
sun_augoinvsfuditcjb,an iceberg reflected in the water of a glacier,"['iceberg', 'water', 'glacier']",OOD
sun_afopyurpnywisbmw,a large body of water with mountains in the background,"['body', 'water', 'mountains', 'background']",OOD
sun_adykjroazbibmkha,a frozen lake with mountains in the background and a blue sky,"['lake', 'mountains', 'background', 'sky']",OOD
sun_bpswjdezuzezthrs,a field with trees and grass and a cloudy sky,"['field', 'trees', 'grass', 'sky']",OOD
sun_bndoxmwzkcyvvxsf,a vegetable garden in front of a house,"['vegetable', 'garden', 'front', 'house']",OOD
sun_bujtguzfbllvwgib,a view of the sunken garden at the butchart gardens,"['view', 'garden', 'butchart', 'gardens']",OOD
sun_acpdtbftkljpltwn,a garden with hedges and a stone pathway,"['garden', 'hedges', 'stone', 'pathway']",OOD
sun_bpoftgifzmnvdsrq,a snow covered field with ski tracks  and trees,"['snow', 'field', 'ski', 'tracks', 'trees']",OOD
sun_bncwrttgfvqfyouf,a fountain in front of a building with a water fountain,"['fountain', 'front', 'building', 'water', 'fountain']",OOD
sun_anjmlbiumozmphah,a river with trees on the side of it,"['river', 'trees', 'side']",OOD
sun_aynpwdlbrxliylsy,a pasture with a fence and a field,"['pasture', 'fence', 'field']",OOD
sun_augkkbcvucxvlxtp,a field of green grass with palm trees,"['field', 'grass', 'palm', 'trees']",OOD
sun_bieldnxipwgejuin,a garden with a pond in the middle of a yard,"['garden', 'pond', 'middle', 'yard']",OOD
sun_bthdhekortklqyvg,a view of the mesquite sand dunes in the death valley national park,"['view', 'mesquite', 'sand', 'dunes', 'death']",OOD
sun_aofrsooyntvqaimk,a stone archway in a dungeon with a table and chairs,"['stone', 'dungeon', 'table', 'chairs']",OOD
sun_aczbdlwpktwbauuj,a field of wheat with a tree in the middle of it,"['field', 'wheat', 'tree', 'middle']",OOD
sun_ahmpirkwazbwwjyb,a large glacier in a body of water,"['glacier', 'body', 'water']",OOD
sun_aimmkpgaaoryxgkm,a small waterfall in the woods,"['waterfall', 'woods']",OOD
sun_alczyqpknleccmtz,an aerial view of a canyon with rock formations,"['view', 'canyon', 'rock', 'formations']",OOD
sun_aasnakciqizlatuu,a large wave in the ocean on top of,"['wave', 'ocean', 'top']",OOD
sun_avlkckswjkcebiws,a field of grass with a hill in the background,"['field', 'grass', 'hill', 'background']",OOD
sun_arjerueouurjggny,a field of yellow flowers in a green field,"['field', 'flowers', 'field']",OOD
sun_aqmegklqvdubffab,a large crack in the snow on a mountain,"['crack', 'snow', 'mountain']",OOD
sun_bdefqymoipjawrft,a group of boats are docked on a river,"['group', 'boats', 'river']",OOD
sun_boxijugwkfftrkyy,a body of water next to a hill with palm trees,"['body', 'water', 'hill', 'palm', 'trees']",OOD
sun_akxpvufspzrysfol,a river with rocks and trees in the background,"['river', 'rocks', 'trees', 'background']",OOD
sun_acwgepilxfobgymk,a group of trees in a wooded area,"['group', 'trees', 'area']",OOD
sun_atgckwcnhenhwkdn,a group of people skiing down a snow covered slope,"['group', 'people', 'snow', 'slope']",OOD
sun_bwdulibeczqcrall,a dirt road with trees on both sides of it,"['dirt', 'road', 'trees', 'sides']",OOD
sun_aahhwojhuuryfsqv,a garden with many plants and flowers in it,"['garden', 'plants', 'flowers']",OOD
sun_bwkoyhgvwssqqjjb,a river with a bridge and buildings,"['river', 'bridge', 'buildings']",OOD
sun_ainbmxkkdgtffgsy,a person riding a wave on a surfboard in the ocean,"['person', 'wave', 'surfboard', 'ocean']",OOD
sun_atohvclowaousrfh,a group of trees with green and orange leaves,"['group', 'trees', 'leaves']",OOD
sun_alvgzeabbjzjiusq,a group of people walking up a snow covered slope,"['group', 'people', 'snow', 'slope']",OOD
sun_akvwedffujvbsrjj,a waterfall in the background with a river in the foreground,"['waterfall', 'background', 'river', 'foreground']",OOD
sun_byazhfcfutymqnek,a golf course with green flags in the grass,"['golf', 'course', 'flags', 'grass']",OOD
sun_bncsjcyfawreexcb,a view of the badlands from the top of a hill,"['view', 'badlands', 'top', 'hill']",OOD
sun_atxudotjysxxbuft,a waterfall in a river,"['waterfall', 'river']",OOD
sun_alobwkdnbxjfluem,a green rice field with palm trees in the background,"['rice', 'field', 'palm', 'trees', 'background']",OOD
sun_bvvhuiaiqnkkxjjl,a stream flowing through a forest with a fallen tree,"['stream', 'forest', 'tree']",OOD
