ImageID,Caption,Nouns,Type
ILSVRC2012_val_00022270,a yellow car driving on a race track,"['car', 'race', 'track']",OOD
ILSVRC2012_val_00003478,a white convertible car parked in front of a group of people,"['car', 'front', 'group', 'people']",OOD
ILSVRC2012_val_00043297,a blue race car driving on a race track,"['race', 'car', 'race', 'track']",OOD
ILSVRC2012_val_00010455,a silver car parked on the side of a street,"['car', 'side', 'street']",OOD
ILSVRC2012_val_00018117,a red car driving on a street in front of a crowd,"['car', 'street', 'front', 'crowd']",OOD
ILSVRC2012_val_00013258,a blue car with its hood open in a show room,"['car', 'hood', 'show', 'room']",OOD
ILSVRC2012_val_00041626,a toy car sitting on top of a table,"['toy', 'car', 'top', 'table']",OOD
ILSVRC2012_val_00029021,a man driving a race car on a race track,"['man', 'race', 'car', 'race', 'track']",OOD
ILSVRC2012_val_00040009,a gold sports car parked on the side of a street,"['gold', 'sports', 'car', 'side', 'street']",OOD
ILSVRC2012_val_00013805,a line of cars are lined up in front of a race track,"['line', 'cars', 'front', 'race', 'track']",OOD
ILSVRC2012_val_00038060,a row of cars parked next to each other in a parking lot,"['row', 'cars', 'parking', 'lot']",OOD
ILSVRC2012_val_00047893,a yellow race car driving down a race track,"['race', 'car', 'race', 'track']",OOD
ILSVRC2012_val_00008392,a yellow sports car in a building with windows,"['sports', 'car', 'building', 'windows']",OOD
ILSVRC2012_val_00016638,a concept car on display at a car show,"['concept', 'car', 'display', 'car', 'show']",OOD
ILSVRC2012_val_00025465,a blue bentley continental convertible parked under a bridge,['bridge'],OOD
ILSVRC2012_val_00009607,a person driving a race car on a race track,"['person', 'race', 'car', 'race', 'track']",OOD
ILSVRC2012_val_00006285,a red and black car on display at a car show,"['car', 'display', 'car', 'show']",OOD
ILSVRC2012_val_00010983,a man driving an old car down a road,"['man', 'car', 'road']",OOD
ILSVRC2012_val_00004868,a silver sports car parked on the side of a road,"['sports', 'car', 'side', 'road']",OOD
ILSVRC2012_val_00012327,a silver bmw car parked in a parking lot at sunset,"['silver', 'car', 'parking', 'lot', 'sunset']",OOD
ILSVRC2012_val_00003049,a green and white car driving on a race track,"['car', 'race', 'track']",OOD
ILSVRC2012_val_00019729,a person riding a horse in an indoor arena,"['person', 'horse', 'arena']",OOD
ILSVRC2012_val_00000179,a brown horse with a white stripe on its face,"['horse', 'stripe', 'face']",OOD
ILSVRC2012_val_00000892,a man is standing next to a horse,"['man', 'horse']",OOD
ILSVRC2012_val_00018417,a brown horse and a foal standing in the grass,"['horse', 'foal', 'grass']",OOD
ILSVRC2012_val_00044391,a person standing next to a brown horse,"['person', 'horse']",OOD
ILSVRC2012_val_00017532,a woman is standing next to a horse,"['woman', 'horse']",OOD
ILSVRC2012_val_00033221,a brown horse standing next to a fence,"['horse', 'fence']",OOD
ILSVRC2012_val_00049605,a person holding a brown horse on a rope,"['person', 'horse', 'rope']",OOD
ILSVRC2012_val_00009344,a brown horse with a white stripe on its head,"['horse', 'stripe', 'head']",OOD
ILSVRC2012_val_00048225,a person riding a horse in a dirt field,"['person', 'horse', 'dirt', 'field']",OOD
ILSVRC2012_val_00014370,a horse standing in the snow in front of trees,"['horse', 'snow', 'front', 'trees']",OOD
ILSVRC2012_val_00014369,a woman is riding a horse,"['woman', 'horse']",OOD
ILSVRC2012_val_00018932,a brown horse eating grass in a field,"['horse', 'grass', 'field']",OOD
ILSVRC2012_val_00045356,a brown horse standing next to a wooden fence,"['horse', 'fence']",OOD
ILSVRC2012_val_00004734,a brown horse is standing in a field,"['horse', 'field']",OOD
ILSVRC2012_val_00044832,a brown and white horse running in a field,"['horse', 'field']",OOD
ILSVRC2012_val_00041332,a horse with a banana in its mouth,"['horse', 'banana', 'mouth']",OOD
ILSVRC2012_val_00017358,a brown horse running on a dirt,"['horse', 'dirt']",OOD
ILSVRC2012_val_00042235,a woman riding a horse jumping over an obstacle,"['woman', 'horse', 'obstacle']",OOD
ILSVRC2012_val_00023408,a brown horse standing in a field next to a person,"['horse', 'field', 'person']",OOD
ILSVRC2012_val_00045409,a brown horse with a blonde mane,"['horse', 'mane']",OOD
ILSVRC2012_val_00029378,a jockey is sitting on a brown horse,"['jockey', 'horse']",OOD
ILSVRC2012_val_00011600,a brown horse standing in a field,"['horse', 'field']",OOD
ILSVRC2012_val_00014304,a brown horse standing next to a wooden fence,"['horse', 'fence']",OOD
ILSVRC2012_val_00032126,a brown horse standing on top of a lush green field,"['horse', 'top', 'field']",OOD
ILSVRC2012_val_00045251,a brown horse with a long mane,"['horse', 'mane']",OOD
ILSVRC2012_val_00009113,a brown horse with a saddle on its back,"['horse', 'saddle', 'back']",OOD
ILSVRC2012_val_00009168,two horses running in a field next to a fence,"['horses', 'field', 'fence']",OOD
ILSVRC2012_val_00043299,a brown horse with a brown bridle,"['horse', 'bridle']",OOD
ILSVRC2012_val_00049082,a brown horse grazing in a field of grass,"['horse', 'grazing', 'field', 'grass']",OOD
ILSVRC2012_val_00046638,a brown and white horse standing next to a fence,"['horse', 'fence']",OOD
ILSVRC2012_val_00033323,a man riding a horse jumping over an obstacle,"['man', 'horse', 'obstacle']",OOD
ILSVRC2012_val_00019843,a brown horse with a white stripe on its face,"['horse', 'stripe', 'face']",OOD
ILSVRC2012_val_00005097,a woman riding a horse in a field,"['woman', 'horse', 'field']",OOD
ILSVRC2012_val_00047494,a man is riding a horse in a field,"['man', 'horse', 'field']",OOD
ILSVRC2012_val_00023360,a close up of a brown horse,"['close', 'horse']",OOD
ILSVRC2012_val_00027043,a brown horse with a white stripe on its face,"['horse', 'stripe', 'face']",OOD
ILSVRC2012_val_00034046,a woman laying on the back of a brown horse,"['woman', 'back', 'horse']",OOD
ILSVRC2012_val_00018928,two horses walking in the snow,"['horses', 'snow']",OOD
ILSVRC2012_val_00029082,two brown horses standing in a field,"['horses', 'field']",OOD
ILSVRC2012_val_00021242,a woman kissing a horse on its nose,"['woman', 'horse', 'nose']",OOD
ILSVRC2012_val_00008317,a brown horse standing in front of a fence,"['horse', 'front', 'fence']",OOD
ILSVRC2012_val_00022302,a young girl riding a horse in a field,"['girl', 'horse', 'field']",OOD
ILSVRC2012_val_00023066,a man petting a brown horse next to a fence,"['man', 'horse', 'fence']",OOD
ILSVRC2012_val_00030081,a brown horse standing in front of a field,"['horse', 'front', 'field']",OOD
ILSVRC2012_val_00007267,a horse and a baby horse grazing in a field,"['horse', 'baby', 'horse', 'grazing', 'field']",OOD
ILSVRC2012_val_00034108,two brown horses standing next to each other,['horses'],OOD
ILSVRC2012_val_00039259,a man is riding a horse in an arena,"['man', 'horse', 'arena']",OOD
ILSVRC2012_val_00035846,a brown horse running in a dirt field,"['horse', 'dirt', 'field']",OOD
ILSVRC2012_val_00039474,a brown and white horse walking in the snow,"['horse', 'snow']",OOD
ILSVRC2012_val_00011664,a frog with a green face and large eyes,"['frog', 'face', 'eyes']",OOD
ILSVRC2012_val_00018339,a frog sitting on top of a green leaf,"['frog', 'top', 'leaf']",OOD
ILSVRC2012_val_00034226,a large toad sitting on the ground,"['toad', 'ground']",OOD
ILSVRC2012_val_00032061,the eyes of a frog sitting on a rock,"['eyes', 'frog', 'rock']",OOD
ILSVRC2012_val_00012558,a large green frog is hiding in the grass,"['frog', 'grass']",OOD
ILSVRC2012_val_00020916,a green frog sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00005045,a large green frog sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00027869,a frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00028352,a green frog sitting on a rock,"['frog', 'rock']",OOD
ILSVRC2012_val_00018160,a green frog sitting on a log in the water,"['frog', 'log', 'water']",OOD
ILSVRC2012_val_00030342,a green frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00046427,a frog sitting on top of lily pads in a pond,"['frog', 'top', 'lily', 'pads', 'pond']",OOD
ILSVRC2012_val_00047498,a green frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00017669,a frog sitting on the ground next to a bug,"['frog', 'ground', 'bug']",OOD
ILSVRC2012_val_00033960,a close up of a frog in a pond,"['close', 'frog', 'pond']",OOD
ILSVRC2012_val_00026059,a frog is sitting in the water next to lily pads,"['frog', 'water', 'pads']",OOD
ILSVRC2012_val_00010287,a green frog sitting on a tree branch,"['frog', 'tree', 'branch']",OOD
ILSVRC2012_val_00029727,a green frog sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00025633,a green frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00026213,two frogs sitting in the grass next to some rocks,"['frogs', 'grass', 'rocks']",OOD
ILSVRC2012_val_00049637,a large green frog sitting in a glass tank,"['frog', 'glass', 'tank']",OOD
ILSVRC2012_val_00019578,a close up of a green frog,"['close', 'frog']",OOD
ILSVRC2012_val_00028041,a green tree frog sitting on a rock,"['tree', 'frog', 'rock']",OOD
ILSVRC2012_val_00021611,a brown frog sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00034383,a green frog sitting in a puddle of water,"['frog', 'puddle', 'water']",OOD
ILSVRC2012_val_00043951,a green frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00049119,a frog sitting on a plant with leaves,"['frog', 'plant', 'leaves']",OOD
ILSVRC2012_val_00032916,two frogs sitting in the water of a pond,"['frogs', 'water', 'pond']",OOD
ILSVRC2012_val_00022052,a large brown frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00016782,a frog is sitting on a tree branch,"['frog', 'tree', 'branch']",OOD
ILSVRC2012_val_00001652,a brown and green frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00004945,a bird standing in the water with a fish in its mouth,"['bird', 'water', 'fish', 'mouth']",OOD
ILSVRC2012_val_00043312,a close up of the head of a frog,"['close', 'head', 'frog']",OOD
ILSVRC2012_val_00023308,a green frog sitting on top of a bird bath,"['frog', 'top', 'bird', 'bath']",OOD
ILSVRC2012_val_00035535,a yellow and green frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00014735,a brown frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00003748,a large brown frog sitting on top of a rock,"['frog', 'top', 'rock']",OOD
ILSVRC2012_val_00036102,a green frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00013974,a frog sitting in a bowl of water,"['frog', 'bowl', 'water']",OOD
ILSVRC2012_val_00033863,a green frog sitting on the ground in the dark,"['frog', 'ground', 'dark']",OOD
ILSVRC2012_val_00004613,a frog sitting on a tree branch,"['frog', 'tree', 'branch']",OOD
ILSVRC2012_val_00024938,a green frog is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00018754,a turtle swimming in a body of water,"['turtle', 'body', 'water']",OOD
ILSVRC2012_val_00006409,a statue of a frog sitting on the ground,"['statue', 'frog', 'ground']",OOD
ILSVRC2012_val_00018512,a green frog sitting on the ground,"['frog', 'ground']",OOD
ILSVRC2012_val_00009563,the roots of a plant in a container of water,"['roots', 'plant', 'container', 'water']",OOD
ILSVRC2012_val_00014227,a snake with its mouth open and a fish in its mouth,"['snake', 'mouth', 'fish', 'mouth']",OOD
ILSVRC2012_val_00012151,a frog that is sitting in the water,"['frog', 'water']",OOD
ILSVRC2012_val_00028113,a frog sitting on a leaf in a pond,"['frog', 'leaf', 'pond']",OOD
ILSVRC2012_val_00018481,a large green frog sitting in a stream,"['frog', 'stream']",OOD
ILSVRC2012_val_00034816,a large container ship in a large body of water,"['container', 'ship', 'body', 'water']",OOD
ILSVRC2012_val_00047443,a tug boat pulling a large container ship in the water,"['tug', 'boat', 'container', 'ship', 'water']",OOD
ILSVRC2012_val_00032178,a cargo ship in the ocean with a city in the background,"['cargo', 'ship', 'ocean', 'city', 'background']",OOD
ILSVRC2012_val_00005912,a crane lifting a red box off of a ship,"['crane', 'box', 'ship']",OOD
ILSVRC2012_val_00010704,a large container ship is in the water,"['container', 'ship', 'water']",OOD
ILSVRC2012_val_00026423,a container ship on the water in front of a city skyline,"['container', 'ship', 'water', 'front', 'city', 'skyline']",OOD
ILSVRC2012_val_00036884,a large ship with containers on top of it,"['ship', 'containers', 'top']",OOD
ILSVRC2012_val_00002748,a large cargo ship in the middle of the ocean,"['cargo', 'ship', 'middle', 'ocean']",OOD
ILSVRC2012_val_00010195,a boat in the middle of a large body of water,"['boat', 'middle', 'body', 'water']",OOD
ILSVRC2012_val_00039908,a large container ship in the water with a city in the background,"['container', 'ship', 'water', 'city', 'background']",OOD
ILSVRC2012_val_00038850,a large red ship is sitting in the water,"['ship', 'water']",OOD
ILSVRC2012_val_00039486,a large container ship is docked at a harbor,"['container', 'ship', 'harbor']",OOD
ILSVRC2012_val_00016094,a container ship on the ocean with cargo on top of it,"['container', 'ship', 'ocean', 'cargo', 'top']",OOD
ILSVRC2012_val_00014953,a large container ship is in the water,"['container', 'ship', 'water']",OOD
ILSVRC2012_val_00035961,a large container ship is traveling through the water   get a quote it is,"['container', 'ship', 'water', 'quote']",OOD
ILSVRC2012_val_00020075,a large container ship on the water near a beach,"['container', 'ship', 'water', 'beach']",OOD
ILSVRC2012_val_00024089,a large ship on the water in the ocean,"['ship', 'water', 'ocean']",OOD
ILSVRC2012_val_00018818,a large cargo ship in the water near a beach,"['cargo', 'ship', 'water', 'beach']",OOD
ILSVRC2012_val_00013664,a container ship on the ocean with shipping containers,"['container', 'ship', 'ocean', 'shipping', 'containers']",OOD
ILSVRC2012_val_00009069,a large cargo ship in the water near a bridge,"['cargo', 'ship', 'water', 'bridge']",OOD
ILSVRC2012_val_00034601,a large ship is in the middle of the ocean,"['ship', 'middle', 'ocean']",OOD
ILSVRC2012_val_00014019,a large container ship under a bridge,"['container', 'ship', 'bridge']",OOD
ILSVRC2012_val_00003055,a large cargo ship in the water with containers on it,"['cargo', 'ship', 'water', 'containers']",OOD
ILSVRC2012_val_00007161,a large cargo ship in the water near a dock,"['cargo', 'ship', 'water', 'dock']",OOD
ILSVRC2012_val_00012534,a view of an airport with a plane in the sky,"['view', 'airport', 'plane', 'sky']",OOD
ILSVRC2012_val_00022271,a large container ship is docked in the water,"['container', 'ship', 'water']",OOD
ILSVRC2012_val_00026041,a large container ship sitting on top of a harbor,"['container', 'ship', 'top', 'harbor']",OOD
ILSVRC2012_val_00020939,a container ship in the middle of the ocean,"['container', 'ship', 'middle', 'ocean']",OOD
ILSVRC2012_val_00049475,a large ship is docked in the water with other boats,"['ship', 'water', 'boats']",OOD
ILSVRC2012_val_00049257,a large cargo ship on the water with a city in the background,"['cargo', 'ship', 'water', 'city', 'background']",OOD
ILSVRC2012_val_00023417,a large ship in the middle of the water,"['ship', 'middle', 'water']",OOD
ILSVRC2012_val_00046110,a large cargo ship in the water near a dock,"['cargo', 'ship', 'water', 'dock']",OOD
ILSVRC2012_val_00006254,a large ship is docked at a dock,"['ship', 'dock']",OOD
ILSVRC2012_val_00021583,a cargo ship is docked in a harbor with cranes,"['cargo', 'ship', 'harbor', 'cranes']",OOD
ILSVRC2012_val_00033533,a large white letter h on the side of a boat,"['letter', 'h', 'side', 'boat']",OOD
ILSVRC2012_val_00003200,two people standing on the beach looking at a ship,"['people', 'beach', 'ship']",OOD
ILSVRC2012_val_00043479,a semi truck parked in front of a large ship,"['truck', 'front', 'ship']",OOD
ILSVRC2012_val_00027211,a large container ship in the middle of the water,"['container', 'ship', 'middle', 'water']",OOD
ILSVRC2012_val_00005496,a large cargo ship sailing in the water,"['cargo', 'ship', 'sailing', 'water']",OOD
ILSVRC2012_val_00017812,a large container ship is on the water,"['container', 'ship', 'water']",OOD
ILSVRC2012_val_00029800,a cargo ship in the water with a city in the background,"['cargo', 'ship', 'water', 'city', 'background']",OOD
ILSVRC2012_val_00005740,a large container ship is in the water,"['container', 'ship', 'water']",OOD
ILSVRC2012_val_00000403,a large cargo ship is docked at a port,"['cargo', 'ship', 'port']",OOD
ILSVRC2012_val_00044334,a large container ship on the water with a small boat,"['container', 'ship', 'water', 'boat']",OOD
ILSVRC2012_val_00023414,a large cargo ship with containers on top of it,"['cargo', 'ship', 'containers', 'top']",OOD
ILSVRC2012_val_00025201,a plane flying over a container ship in the ocean,"['plane', 'container', 'ship', 'ocean']",OOD
ILSVRC2012_val_00010325,a large ship is passing through a lock in a river,"['ship', 'lock', 'river']",OOD
ILSVRC2012_val_00001339,a large cargo ship crossing a bridge over the water,"['cargo', 'ship', 'bridge', 'water']",OOD
ILSVRC2012_val_00034508,a large ship with stacks of shipping containers on top of it,"['ship', 'stacks', 'shipping', 'containers', 'top']",OOD
ILSVRC2012_val_00019229,a cargo ship with containers on the water,"['cargo', 'ship', 'containers', 'water']",OOD
ILSVRC2012_val_00031623,a black and brown dog laying down on the ground,"['dog', 'ground']",OOD
ILSVRC2012_val_00046704,a brown and white dog with a red collar and,"['dog', 'collar']",OOD
ILSVRC2012_val_00019626,a black and white dog laying in the grass,"['dog', 'grass']",OOD
ILSVRC2012_val_00002302,a woman is petting a black and white dog,"['woman', 'dog']",OOD
ILSVRC2012_val_00026426,two dogs are looking at each other,['dogs'],OOD
ILSVRC2012_val_00023539,a black and brown dog standing on a leash,"['dog', 'leash']",OOD
ILSVRC2012_val_00016745,a dog running on a path with a ball in its mouth,"['dog', 'path', 'ball', 'mouth']",OOD
ILSVRC2012_val_00014816,a black and brown dog standing in front of a barn,"['dog', 'front', 'barn']",OOD
ILSVRC2012_val_00004666,a black and white dog on a leash on the beach,"['dog', 'leash', 'beach']",OOD
ILSVRC2012_val_00032111,a large dog and a small dog on the floor,"['dog', 'dog', 'floor']",OOD
ILSVRC2012_val_00011947,a black and white dog smiling with its tongue out,"['dog', 'tongue']",OOD
ILSVRC2012_val_00007071,a brown and white dog with its mouth open,"['dog', 'mouth', 'open']",OOD
ILSVRC2012_val_00001302,a black and white dog standing in a field,"['dog', 'field']",OOD
ILSVRC2012_val_00025684,a group of puppies standing on a brick sidewalk,"['group', 'puppies', 'brick', 'sidewalk']",OOD
ILSVRC2012_val_00046013,two dogs sniffing the ground in the grass,"['dogs', 'ground', 'grass']",OOD
ILSVRC2012_val_00034266,a black and brown dog standing in the grass,"['dog', 'grass']",OOD
ILSVRC2012_val_00018178,a black and brown dog with its tongue out,"['dog', 'tongue']",OOD
ILSVRC2012_val_00034747,a dog sitting in the back seat of a car,"['dog', 'seat', 'car']",OOD
ILSVRC2012_val_00040869,two dogs playing with a stick in the snow,"['dogs', 'stick', 'snow']",OOD
ILSVRC2012_val_00019535,two dogs running in a river,"['dogs', 'river']",OOD
ILSVRC2012_val_00005587,a black and white dog standing on the floor,"['dog', 'floor']",OOD
ILSVRC2012_val_00017421,a black and brown dog sitting on a bed,"['dog', 'bed']",OOD
ILSVRC2012_val_00023799,two dogs laying on the floor next to each other,"['dogs', 'floor']",OOD
ILSVRC2012_val_00002794,a brown and black dog standing next to a wooden table,"['dog', 'table']",OOD
ILSVRC2012_val_00020550,a black and white dog laying on the ground,"['dog', 'ground']",OOD
ILSVRC2012_val_00044618,a black and brown puppy sitting in the grass,['grass'],OOD
ILSVRC2012_val_00010268,a black and brown dog standing on the side of a road,"['dog', 'side', 'road']",OOD
ILSVRC2012_val_00045495,a black and white dog with its tongue out,"['dog', 'tongue']",OOD
ILSVRC2012_val_00049498,a dog sitting next to a person on the floor,"['dog', 'person', 'floor']",OOD
ILSVRC2012_val_00033603,a black and white dog standing on a sidewalk,"['dog', 'sidewalk']",OOD
ILSVRC2012_val_00026650,a black and white dog standing in the snow,"['dog', 'snow']",OOD
ILSVRC2012_val_00006824,a man laying in a bed with two dogs,"['man', 'bed', 'dogs']",OOD
ILSVRC2012_val_00012839,a brown and white dog walking down a street,"['dog', 'street']",OOD
ILSVRC2012_val_00019080,a dog running in the snow,"['dog', 'snow']",OOD
ILSVRC2012_val_00021196,a dog with its nose up to the camera,"['dog', 'nose', 'camera']",OOD
ILSVRC2012_val_00031343,a black and brown dog laying in the grass,"['dog', 'grass']",OOD
ILSVRC2012_val_00022176,a black and white dog sitting in the snow,"['dog', 'snow']",OOD
ILSVRC2012_val_00038029,a dog sticking its tongue out at the camera,"['dog', 'tongue', 'camera']",OOD
ILSVRC2012_val_00033915,a dog laying on a deck next to a chair,"['dog', 'deck', 'chair']",OOD
ILSVRC2012_val_00045995,a black and brown dog walking on a leash in the grass,"['dog', 'leash', 'grass']",OOD
ILSVRC2012_val_00016488,a dog running across a snow covered field,"['dog', 'snow', 'field']",OOD
ILSVRC2012_val_00006191,a black and white dog laying in the grass,"['dog', 'grass']",OOD
ILSVRC2012_val_00043234,a black and white dog looking at the camera,"['dog', 'camera']",OOD
ILSVRC2012_val_00003139,a black and white dog laying on a blue dog bed,"['dog', 'dog', 'bed']",OOD
ILSVRC2012_val_00037538,a man kneeling down with a dog on the beach,"['man', 'dog', 'beach']",OOD
ILSVRC2012_val_00021642,a large white dog standing next to a person,"['dog', 'person']",OOD
ILSVRC2012_val_00011198,a black and brown dog sitting on top of a hill,"['dog', 'top', 'hill']",OOD
ILSVRC2012_val_00034221,a black and brown dog standing next to a brick wall,"['dog', 'brick', 'wall']",OOD
ILSVRC2012_val_00000531,a dog sitting on a chair in the snow,"['dog', 'chair', 'snow']",OOD
ILSVRC2012_val_00017278,a brown and black dog sitting in the snow,"['dog', 'snow']",OOD
ILSVRC2012_val_00027681,a red and white plane is taking off from a runway,"['plane', 'runway']",OOD
ILSVRC2012_val_00021358,a fighter jet parked on a runway with a cloudy sky,"['fighter', 'jet', 'runway', 'sky']",OOD
ILSVRC2012_val_00047723,a propeller plane flying through a blue sky,"['propeller', 'plane', 'sky']",OOD
ILSVRC2012_val_00005116,a small fighter jet sitting on top of an airport runway,"['fighter', 'jet', 'top', 'airport', 'runway']",OOD
ILSVRC2012_val_00015070,a fighter jet flying through a cloudy blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00018190,a green fighter jet sitting on top of an airport runway,"['fighter', 'jet', 'top', 'airport', 'runway']",OOD
ILSVRC2012_val_00026553,an old fighter jet sitting on display in a museum,"['fighter', 'jet', 'display', 'museum']",OOD
ILSVRC2012_val_00037204,a small blue airplane flying over a desert,"['airplane', 'desert']",OOD
ILSVRC2012_val_00034713,a man standing on top of a fighter jet,"['man', 'top', 'fighter', 'jet']",OOD
ILSVRC2012_val_00003293,a crowd of people walking into the nose of a military plane,"['crowd', 'people', 'nose', 'plane']",OOD
ILSVRC2012_val_00010014,a fighter jet flying through the sky over the mountains,"['fighter', 'jet', 'sky', 'mountains']",OOD
ILSVRC2012_val_00030208,a fighter jet flying in the air with its landing gear down,"['fighter', 'jet', 'air', 'landing', 'gear']",OOD
ILSVRC2012_val_00047539,a large military plane is flying in the sky,"['plane', 'sky']",OOD
ILSVRC2012_val_00018147,an airplane hanging from the ceiling of a building,"['airplane', 'ceiling', 'building']",OOD
ILSVRC2012_val_00039785,a fighter jet flying through a blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00007004,a fighter jet flying through a blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00032516,a fighter jet flying through a blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00035119,an airplane is flying over a yellow tower,"['airplane', 'tower']",OOD
ILSVRC2012_val_00020759,four fighter jets flying in formation in the sky,"['fighter', 'jets', 'formation', 'sky']",OOD
ILSVRC2012_val_00004998,a fighter jet flying over a crowd of people,"['fighter', 'jet', 'crowd', 'people']",OOD
ILSVRC2012_val_00046500,a small propeller plane sitting on top of an airport runway,"['propeller', 'plane', 'top', 'airport', 'runway']",OOD
ILSVRC2012_val_00031559,an old plane is parked on a runway,"['plane', 'runway']",OOD
ILSVRC2012_val_00021062,a plane flying in the blue sky with a jet,"['plane', 'sky', 'jet']",OOD
ILSVRC2012_val_00044335,a fighter jet sitting on top of a runway,"['fighter', 'jet', 'top', 'runway']",OOD
ILSVRC2012_val_00004879,a large airplane flying through a blue sky,"['airplane', 'sky']",OOD
ILSVRC2012_val_00024705,the side of an airplane in a museum,"['side', 'airplane', 'museum']",OOD
ILSVRC2012_val_00047921,a large gray airplane flying in the sky,"['airplane', 'sky']",OOD
ILSVRC2012_val_00028234,a large plane flying through a cloudy sky,"['plane', 'sky']",OOD
ILSVRC2012_val_00012932,a fighter jet flying through a cloudy sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00007311,a fighter jet flying through a blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00030069,a fighter jet flying through a blue sky,"['fighter', 'jet', 'sky']",OOD
ILSVRC2012_val_00023334,a small propeller plane sitting on top of an airport runway,"['propeller', 'plane', 'top', 'airport', 'runway']",OOD
ILSVRC2012_val_00018638,a small airplane with a windshield on a grass field,"['airplane', 'windshield', 'grass', 'field']",OOD
