ImageID,Caption,Nouns,Type
12f5c4f1c6c4c28d12032350d447d07a,a person holding a plant in their hand,"['person', 'plant', 'hand']",OOD
72dc450fb9626a3293c59ffc654cb1bc,a group of pine trees in the snow,"['group', 'trees', 'snow']",OOD
a1856104d29c5fb913cdbc5b1796d092,a lush green fern plant in a forest,"['plant', 'forest']",OOD
1cab1c42a296ee4cb8467d4f13f1d52a,a group of purple flowers in the grass,"['group', 'flowers', 'grass']",OOD
6f380d82760f5eb86e1aac10938113a3,a view of a field with trees and bushes,"['view', 'field', 'trees', 'bushes']",OOD
5dd0d37860dd6d49289df6161470bb9e,a plant that is growing out of the ground in the woods,"['plant', 'ground', 'woods']",OOD
827ab8a477d4b2c53f5bb6fc51585ee6,a person holding a yellow flower in their hand,"['person', 'flower', 'hand']",OOD
fffa5fc70b22d6b4aa7311df49dd08ab,a small cactus is growing in the grass,"['cactus', 'grass']",OOD
5b784ee63fd3bc7532dd5f7ea71f44e7,a close up of a green plant in the grass,"['close', 'plant', 'grass']",OOD
fa738bcd781d4592c2fe5bd03017dd34,a small plant is growing in the dirt,"['plant', 'dirt']",OOD
20382576794c74c7a46cffd644d7f2bf,a yellow flower is standing in the dirt,"['flower', 'dirt']",OOD
2d03097b5c77ddc444d80330e442a857,a field of grass and dirt with trees in the background,"['field', 'grass', 'dirt', 'trees', 'background']",OOD
b6fd75c1c124dd51cdf9789bb0dd9f46,a plant with green flowers growing in the grass,"['plant', 'flowers', 'grass']",OOD
c284cde0ad1eed8e08536156e1ca6f50,a hand holding a small plant with green leaves,"['hand', 'plant', 'leaves']",OOD
3ad08fe50ce735165fc7002d231844d4,a close up of a tree with splits in it,"['close', 'tree', 'splits']",OOD
16e956f3768e008d42b2ba206b1e3910,a plant with green leaves in the mulch,"['plant', 'leaves', 'mulch']",OOD
6e3813d437fc9e2abb3cf2c9990429f3,a close up of a person holding a plant with aphids on it,"['close', 'person', 'plant', 'aphids']",OOD
b7c4839c530532f7536dccd34110a239,a close up of a hand holding a plant with ants,"['close', 'hand', 'plant', 'ants']",OOD
73aea233933a374f8eedc857ed0f3131,a group of pink flowers on a green plant,"['group', 'flowers', 'plant']",OOD
9a7de262327e5c73b738be1854ea120f,a hand with a wound on the wrist with ants,"['hand', 'wound', 'wrist', 'ants']",OOD
ed49eda83c94faad2684ef26541d822e,a plant with green leaves growing in the grass,"['plant', 'leaves', 'grass']",OOD
72d573cc1c1490823a8df6332aba774f,a white flower on a plant with green leaves,"['flower', 'plant', 'leaves']",OOD
88037f588bc8928a458324b2ef70dc82,a group of white flowers in the grass,"['group', 'flowers', 'grass']",OOD
bd2e1d9b8191226d1223ef33daa148a5,a tree in a forest with other trees,"['tree', 'forest', 'trees']",OOD
445e2cd4c2edd6f0369708dd40e7d478,a tree with a cloudy sky in the background,"['tree', 'sky', 'background']",OOD
51fed707a141d2d1c02707cae44b9c33,a bunch of orange and yellow flowers in the grass,"['bunch', 'flowers', 'grass']",OOD
efd0d2880d5a52c725bfc0c559eb9017,a small pink flower with a bee on it in the dirt,"['flower', 'bee', 'dirt']",OOD
1856e4f27c55a4bdce50eb0dc09bec01,a plant with white flowers growing in the dirt,"['plant', 'flowers', 'dirt']",OOD
0588d499d24ba7ab665afd065acf07b3,a plant with green leaves and a purple flower in the grass,"['plant', 'leaves', 'flower', 'grass']",OOD
6449df5ff25d023c0340ef2b97320488,a tree with red and green leaves in a field,"['tree', 'leaves', 'field']",OOD
5e83f0d6b114349ef0022cd411c93e08,a purple flower in the grass,"['flower', 'grass']",OOD
65acc6f466b74dc56a580e510e949429,a plant with purple flowers and green leaves,"['plant', 'flowers', 'leaves']",OOD
ba471b627f88920072dbfef76f8d4b5c,a plant with green leaves in a field,"['plant', 'leaves', 'field']",OOD
73ae65cd967c44ecafe1ebc2fd254eed,a cluster of yellow flowers in the grass,"['cluster', 'flowers', 'grass']",OOD
6aeb1fddbc14c5c2ba2a2ac26ae8a6c2,a cluster of brown leaves hanging from a tree,"['cluster', 'leaves', 'tree']",OOD
cb9452c954ae5d3ad852290184cc17c2,a hand holding a blade of grass in the grass,"['hand', 'blade', 'grass', 'grass']",OOD
46fa306d9484b2ca61866f25efb511c2,a plant in the forest with green leaves,"['plant', 'forest', 'leaves']",OOD
ca597c3b59869596c630cd1873a2f8f4,a cat walking on the side of a hill,"['cat', 'side', 'hill']",OOD
159927ccad62879e290a38a508721296,a plant with green leaves on a tree branch,"['plant', 'leaves', 'tree', 'branch']",OOD
e63d0a56beccb7e5d54646730a20f77e,a persons foot in a field of yellow flowers,"['persons', 'foot', 'field', 'flowers']",OOD
212c5b39aa864ff170f0171c2ad0a431,green leaves of a plant in the grass,"['leaves', 'plant', 'grass']",OOD
4a664373756021ef5a2686775179f2f8,a group of succulent plants on the ground,"['group', 'plants', 'ground']",OOD
4c63711733605d3e7e6ff427903c77d9,some small white flowers in the grass on the ground,"['flowers', 'grass', 'ground']",OOD
f1852bc794cc8f07a4d0dbbaba41c32e,the plants are growing in the leaves of the forest,"['plants', 'leaves', 'forest']",OOD
8fd2432b5dfb22a0c759103a6c47a5ba,a blue verbena inflorescence with purple flowers on a green stalk,"['inflorescence', 'flowers', 'stalk']",OOD
d2377b18f515cd65e10753283fd4e970,a plant with yellow flowers growing in the grass,"['plant', 'flowers', 'grass']",OOD
95b0c9af156754731e5c24bdf0d45edb,a group of pink flowers in a field of green grass,"['group', 'flowers', 'field', 'grass']",OOD
cb530e678d4b80078ebbfcb2bb01b6f9,a piece of paper is laying in the grass,"['piece', 'paper', 'grass']",OOD
78ae41c9c07eacd1ab6f50e8dbd0e9c3,a bunch of red berries on a tree with green leaves,"['bunch', 'berries', 'tree', 'leaves']",OOD
1990350a88a3ddfd014425bb08ba71ed,a plant with small pink flowers growing on a rock,"['plant', 'flowers', 'rock']",OOD
d5d35e73b81259fa27c17d06c390b4d6,a close up of three yellow flowers in the grass,"['close', 'flowers', 'grass']",OOD
5df3400ed72acf486459d24b330b2e40,a group of white flowers on the side of a road,"['group', 'flowers', 'side', 'road']",OOD
c5c8424684281114337296d4ab8d67e8,three pink flowers in a field of grass,"['flowers', 'field', 'grass']",OOD
b87b81f80d7a37cf2d29ce049a78ab32,a small plant growing out of a rock,"['plant', 'rock']",OOD
a3dd1d7f368973f378d8cef667307b7a,a plant with white flowers in the grass,"['plant', 'flowers', 'grass']",OOD
1923992195870004b8a9612596f8ed7e,a red bush in the middle of the desert,"['middle', 'desert']",OOD
96336961b94d0c7d58ad22fdd02120fe,a group of green ferns growing on the ground,"['group', 'ferns', 'ground']",OOD
2413012fac9bfe84ffa412b36458e7e4,a bunch of green grapes growing on a plant,"['bunch', 'grapes', 'plant']",OOD
3fa4c38253fd3c58da23a2c51703334e,three globes of white flowers in a field of grass,"['globes', 'flowers', 'field', 'grass']",OOD
4e041ca53e4713517961d5e7d427bbf5,a close up of a yellow flower in the grass,"['close', 'flower', 'grass']",OOD
255a07bd4b429676795feb3b8c440a96,a small tree in the middle of the forest,"['tree', 'middle', 'forest']",OOD
bdf8d5564ac8d83e8dd30bad752f6c80,a tree with many branches and leaves on it,"['tree', 'branches', 'leaves']",OOD
9113b2b2742b300afe07cf25b9e2f3b9,a small yellow flower in the grass on the ground,"['flower', 'grass', 'ground']",OOD
8fdfea3fbdeabe2aa892b6c5c9031c47,a purple cactus is growing in a pile of rocks,"['cactus', 'pile', 'rocks']",OOD
c3a619faa585c7dbdd210379386d8f47,a bunch of cherries growing on a tree,"['bunch', 'cherries', 'tree']",OOD
3d5e6b3325397dda573e1f9cbfa80274,a small plant with two leaves on the ground,"['plant', 'leaves', 'ground']",OOD
3748f7e7750039a9619d9fe4b9dc3214,a cluster of white flowers on a tree branch,"['cluster', 'flowers', 'tree', 'branch']",OOD
3a00811e8726258ae7e51beac18872db,a birch tree in the woods next to a river,"['birch', 'tree', 'woods', 'river']",OOD
1c08e4d60f2beafe487e90230a4eb807,a plant with red and green leaves on it,"['plant', 'leaves']",OOD
838314b763d34162a110cc0c4b913fbd,a person holding a small white flower in their hand,"['person', 'flower', 'hand']",OOD
a1e967fb1a5c02026462bbb5d6a748ab,a yellow dandelion growing in the grass,"['dandelion', 'grass']",OOD
e45e5e4e8871d5839b33ac6558f438b3,a plant with yellow flowers growing in the woods,"['plant', 'flowers', 'woods']",OOD
ee667238810b3a422d4d338331780f54,a cluster of white flowers growing in the grass,"['cluster', 'flowers', 'grass']",OOD
155b8be1d0cb2117e205e96b6fbfcacc,a cluster of green fruit hanging from a tree,"['cluster', 'fruit', 'tree']",OOD
9c98dd3986d4d83ea4aa1625819deb51,a plant with small white flowers and green leaves,"['plant', 'flowers', 'leaves']",OOD
a6c4426d076fb157dd5f81fc9a10aaa5,a plant with orange flowers in the grass,"['plant', 'flowers', 'grass']",OOD
c60e85ee5b945092ee0e11adc0776aec,a tree with a bunch of leaves on it in the woods,"['tree', 'bunch', 'leaves', 'woods']",OOD
e218a9acf94c58809949c367dd487e36,a plant with a white flower on top of it,"['plant', 'flower', 'top']",OOD
8997854d4235dba67f7c2ba944086998,a close up of a tree with green leaves,"['close', 'tree', 'leaves']",OOD
09020f4499f02cdb115502ca61ed09f8,a plant with green leaves in the grass,"['plant', 'leaves', 'grass']",OOD
12e0754039f4d6286d3d5a0e738245c8,a small white flower on a green plant,"['flower', 'plant']",OOD
d964b917c9e4ab54dcf9cf13a6b70243,a group of small yellow lights on some trees and rocks,"['group', 'lights', 'trees', 'rocks']",OOD
a9bb57bb6ef0a5a7ef6cf6e84f596b90,a plant with white flowers and green leaves in the woods,"['plant', 'flowers', 'leaves', 'woods']",OOD
51d9cdf711814ddd0e405d810de97f1e,a close up of a plant with green leaves,"['close', 'plant', 'leaves']",OOD
33482ab2062a26eaf25920637a9fff3b,a bunch of yellow flowers in the grass,"['bunch', 'flowers', 'grass']",OOD
13733e71ce831def1e91c952b8fc1cad,a plant with yellow flowers in the grass,"['plant', 'flowers', 'grass']",OOD
5aeeb633712dd9552557698350f4102c,a large green plant on a hill,"['plant', 'hill']",OOD
82f78b2ddd397ff9efe7f33c2580252e,a cluster of red and green berries on a plant,"['cluster', 'berries', 'plant']",OOD
1c1fe8d92f26957cdb0cae273682f880,a group of red maple leaves on the ground,"['group', 'ground']",OOD
7ad15cc0a26806cd110cc353c3bd3c1f,a remote control sitting on the ground next to a plant,"['control', 'ground', 'plant']",OOD
7d4b38fc9f0d51dcbc260c1f73d6f419,a close up of green leaves on a plant,"['close', 'leaves', 'plant']",OOD
24ed4f72f6dc43fa514093bd8c730ee5,two trees in the woods with a blue sky in the background,"['trees', 'woods', 'sky', 'background']",OOD
ee1d4ce9fd66b2ab9ad7e26eb56b6416,a close up of a tree with green leaves and pink flowers,"['close', 'tree', 'leaves', 'flowers']",OOD
04251288a1136e0ce88c55d1da84d7e1,a close up of a plant with green leaves and white flowers,"['close', 'plant', 'leaves', 'flowers']",OOD
11bf413231754bcf639d2e7ad28e433a,a purple flower in the grass next to a rock,"['flower', 'grass', 'rock']",OOD
ae849210d608e1ba6a305f15e8556cce,a group of white mushrooms growing in the grass,"['group', 'mushrooms', 'grass']",OOD
a3d92db0a3a460242e010d7109fad76d,a cluster of pink and white flowers on a plant with green leaves,"['cluster', 'flowers', 'plant', 'leaves']",OOD
efe38c98f72ebd3b1bf0234c119adc88,a plant with a large white flower on it,"['plant', 'flower']",OOD
8f2cdf552589d9ab5b135a8274dea342,a close up of a plant with green leaves,"['close', 'plant', 'leaves']",OOD
0b579b4d93253dbef665354b67688dc5,a person holding a small flower in their hand,"['person', 'flower', 'hand']",OOD
c7c39b3388764a6e4a300870aff4b627,a close up of a rock with grass and rocks,"['close', 'rock', 'grass', 'rocks']",OOD
da1dfa330bc0cc3154af85f0d9cdf0a1,a green plant in the grass next to a fence,"['plant', 'grass', 'fence']",OOD
4e0efffbc68fc96b856334db5d0b8943,a group of yellow flowers in the grass,"['group', 'flowers', 'grass']",OOD
ed77bfdec95b0cb724f27d0354296e36,a large fern plant growing in the forest,"['plant', 'forest']",OOD
a4df3e08bc15c93189738e8426dd871f,a close up of a yellow flower on a cannabis plant,"['close', 'flower', 'cannabis', 'plant']",OOD
85f32a65d504ca9f61f7c19108fb9a6f,an image of some rocks with seaweed on them,"['image', 'rocks', 'seaweed']",OOD
bb9a3c40df6a81079e2d136a4a6649d6,a close up of a green plant in the grass,"['close', 'plant', 'grass']",OOD
75f9f4c6f3ad8f75d37fad8fb328cc61,a plant with bright green leaves in the forest,"['plant', 'leaves', 'forest']",OOD
ab3f8369ff34522a5aebeb0276e46679,a patch of grass on the side of a road,"['patch', 'grass', 'side', 'road']",OOD
35d1086bc4680ce586d2360593ae0c77,a cluster of pink flowers on a plant in the woods,"['cluster', 'flowers', 'plant', 'woods']",OOD
53bda0738030e329e3e9694574af8a1d,a flower emerges from the ground in the forest,"['flower', 'ground', 'forest']",OOD
b92a5110bcb76f8c50d16054aeab78f1,a small succulent plant with white and yellow flowers,"['plant', 'flowers']",OOD
46fd76f8af5cafde4589130dacd94ce2,biological genus growing in the shade of a tree,"['genus', 'shade', 'tree']",OOD
5c4bd65dbf0ffe6aae99225c69215cd2,a plant with green leaves in the forest,"['plant', 'leaves', 'forest']",OOD
d35fdde8691d63afa8e84ee4ff6d7201,the green leaves of a plant in the grass,"['leaves', 'plant', 'grass']",OOD
2511bf3b08939e500a27c09e74cbbeeb,a close up of a yellow flower with green leaves,"['close', 'flower', 'leaves']",OOD
6a683c75c5c6f1725e1033d12b0b2abb,a cluster of brown flowers in a field of grass,"['cluster', 'flowers', 'field', 'grass']",OOD
80adc93e07eff74a1062a93412b12342,a plant with red and green leaves in the grass,"['plant', 'leaves', 'grass']",OOD
a40a3e87aaebf18522e3282dfe5aedb6,a person is pointing at a purple flower in the grass,"['person', 'flower', 'grass']",OOD
52f50298180e76586d3d87c9e4683c12,a small plant with green leaves in the dirt,"['plant', 'leaves', 'dirt']",OOD
7390a0cefe013468e57a29504302b8ce,a close up of two purple flowers in the grass,"['close', 'flowers', 'grass']",OOD
b9c57f19ca3433af0f3cc69f0cad8c3b,a close up of a tree with yellow flowers,"['close', 'tree', 'flowers']",OOD
e1435cf803293e6ca9d710b3e57e27dc,a close up of pink flowers on a tree branch,"['close', 'flowers', 'tree', 'branch']",OOD
ac7ed173dc4fbf849697da1f1a7d4b36,a plant with purple flowers growing next to a rock,"['plant', 'flowers', 'rock']",OOD
4e5403a7058c9eb1bbfa8a46ba9a1d36,a hand holding a green leaf of a cannabis plant,"['hand', 'leaf', 'cannabis', 'plant']",OOD
19a0c9bb85f07a9470d073392177bf1c,a plant with green leaves growing in the woods,"['plant', 'leaves', 'woods']",OOD
043d5400f1ed94bf0a4830c2b5984879,a plant with green leaves in the moss,"['plant', 'leaves', 'moss']",OOD
f18130e08da948d930d7e50c961fd085,a plant with green leaves growing in the woods,"['plant', 'leaves', 'woods']",OOD
5bbf0199364f274b504a5c23c10e3713,a close up of two purple flowers,"['close', 'flowers']",OOD
beb9e0a6c492314c646c614d782d8852,a group of purple flowers growing in the rocks,"['group', 'flowers', 'rocks']",OOD
bc4e2e6f287cdc0a11b440d569a4430b,a tree with red berries on it in the woods,"['tree', 'berries', 'woods']",OOD
f8ff4468df805aa822b1f64ea11980f1,a small green plant growing in the sand,"['plant', 'sand']",OOD
9ef1435018b662d7f6c0cc3137be7218,a plant with red leaves on the ground,"['plant', 'leaves', 'ground']",OOD
c50bf8ecb1bd0e58920773dfabfc7b91,a tree with large green leaves on the ground,"['tree', 'leaves', 'ground']",OOD
80f14c9508fbb774631d75cf7e4b94b5,a plant is growing in the middle of the woods,"['plant', 'middle', 'woods']",OOD
672c62031444e6660668edc79df8baa0,a small prickly cactus in the dirt,"['cactus', 'dirt']",OOD
a0f3ee52c6a8302becd43346fbf0752c,a purple and white flower in the grass,"['flower', 'grass']",OOD
189081a46b3884b646ed4eb0d3d9076c,three green heart shaped plants growing on the ground,"['heart', 'plants', 'ground']",OOD
9dd4c7df55dda1882192b4031bbfe3d9,a barbed wire fence covered with leaves in the woods,"['wire', 'fence', 'leaves', 'woods']",OOD
fd1528df3609c4fc92cf43190936ec0d,a plant with yellow flowers in the grass,"['plant', 'flowers', 'grass']",OOD
68f84e00c0ac3837d527f4445283c2d7,a dirt trail in the woods with a tree branch over it,"['dirt', 'trail', 'woods', 'tree', 'branch']",OOD
dcfc00ad651703d96f604226faa62158,a close up of a tree trunk with a cracked bark,"['close', 'tree', 'trunk', 'bark']",OOD
4cf70a5b592c256776e282700a8aeeb6,a large rock in the water next to the ocean,"['rock', 'water', 'ocean']",OOD
cb31d8ea53f6dd84a240d6f06d2f109c,a cluster of yellow flowers in the grass,"['cluster', 'flowers', 'grass']",OOD
7fdbae41bbc8b3b446a41a9353170579,a field of grass with a tree in the background,"['field', 'grass', 'tree', 'background']",OOD
db25347305c1b5a8dbb115c49d5421df,a plant with green leaves in the grass,"['plant', 'leaves', 'grass']",OOD
2e3b8b12a5b950379dcd04e54d976802,a tree branch with white buds and green leaves,"['tree', 'branch', 'buds', 'leaves']",OOD
63d70b76fe47a976ad30124def299759,the flower of a calla lily in the woods,"['flower', 'calla', 'lily', 'woods']",OOD
e7e8293cd472498b9c9bd9380bb27aac,a group of yellow flowers on a plant with green leaves,"['group', 'flowers', 'plant', 'leaves']",OOD
befcf821971f36a667a1935b470be7af,a small green plant in the dirt,"['plant', 'dirt']",OOD
5d46eb6f65df5185a5dab1ac5b7c80ae,a plant with white flowers in the grass,"['plant', 'flowers', 'grass']",OOD
b007fc9199e818ebeddbf756f4a5be86,a large tree with a blue sky in the background,"['tree', 'sky', 'background']",OOD
d1b4d078d8d494e80734452c56d6450e,a plant with heart shaped leaves growing in the dirt,"['plant', 'heart', 'leaves', 'dirt']",OOD
4cb661a89ee56072e03a46e839045ed7,a close up of pink flowers on a tree,"['close', 'flowers', 'tree']",OOD
4d9561f1f8aed149c1add668ffccc15f,a group of white flowers on a tree branch,"['group', 'flowers', 'tree', 'branch']",OOD
5c5f61a25ec6fb98a68bfb5d22e23a00,a hand pulling a plant out of the ground,"['hand', 'plant', 'ground']",OOD
c3e53a981b3e3bc349185105995cf36e,a plant with green leaves and yellow flowers in a field,"['plant', 'leaves', 'flowers', 'field']",OOD
e3d7c14d4f90d89cc7a7e81dfe5f5d09,a plant with red and yellow leaves in the grass,"['plant', 'leaves', 'grass']",OOD
0c618e174d5a16d21facaeac37bf4a6a,a small plant with green leaves on the ground,"['plant', 'leaves', 'ground']",OOD
e9df0cd73df81a8a31ae52701f631489,a mouse is hiding in the leaves of a plant,"['mouse', 'leaves', 'plant']",OOD
8c747a3048ce6ad8595e2985cbb3ab94,a yellow flower growing on a plant in the sand,"['flower', 'plant', 'sand']",OOD
5fc5f74f23ea396fc8836bd19fd35df1,a close up of a green plant in the woods,"['close', 'plant', 'woods']",OOD
448067071ca8b68c03fde4fc0378491a,a small plant with purple flowers in the grass,"['plant', 'flowers', 'grass']",OOD
5a6dffcf54d5f553320819b633ca1a10,a close up of a red flower with green leaves,"['close', 'flower', 'leaves']",OOD
aa8986d43028dc3460a5fc34ccf7fe6b,a small plant in the grass,"['plant', 'grass']",OOD
701f914393e13fc0ba1698fc979e35ce,a plant with four white flowers in the grass,"['plant', 'flowers', 'grass']",OOD
a65a02ba65396f107468b8d0c2d2b819,a tree that has been eaten by a lightning bolt,"['tree', 'lightning', 'bolt']",OOD
3e73b16d525a9536017c61b62021c51a,a plant with white flowers and green leaves,"['plant', 'flowers', 'leaves']",OOD
4deff909f919fa193f899da3c1788273,a group of aloe vera plants on the ground,"['group', 'plants', 'ground']",OOD
4b4ca9eacbcfb877568f77782950f576,a plant with red flowers in a field,"['plant', 'flowers', 'field']",OOD
07b18fd1e293b2644fe039e9e636993e,a cluster of white flowers on a plant with green leaves,"['cluster', 'flowers', 'plant', 'leaves']",OOD
57ffbc782cefb231bea2808c104afc8e,a purple flower on the ground next to some green leaves,"['flower', 'ground', 'leaves']",OOD
6aff84942b18f40404c3bf4510f4a061,a plant with purple flowers and green leaves,"['plant', 'flowers', 'leaves']",OOD
267e760ccb4a2709e8fdfc16578b5370,a plant with yellow flowers in the grass,"['plant', 'flowers', 'grass']",OOD
6e84a72f63b21bad0dea34d8485f9306,a large green fern plant in a forest,"['plant', 'forest']",OOD
3d2e09a05475c07240c08fbf53928ba2,a close up of green stalks of lime green flowers,"['close', 'stalks', 'flowers']",OOD
105a102d3a9133b309c43e92f1c49239,a leaf with water droplets on it,"['leaf', 'water', 'droplets']",OOD
14b91a0179090ff81404fca04e8b3b84,a small pine tree in the grass,"['pine', 'tree', 'grass']",OOD
d4c9b18cf9325c3ed18de8b07eb1b861,a small tree with green leaves in the grass,"['tree', 'leaves', 'grass']",OOD
14949b2ebf801ceb0bf37b833aca0a68,a small green plant growing in the grass,"['plant', 'grass']",OOD
57c6be80c97965e635a63b6472ee7b07,a plant in the woods with green leaves,"['plant', 'woods', 'leaves']",OOD
4a467fbbd19df5bffddf8e68459c1ee6,a small plant growing in the sand on a beach,"['plant', 'sand', 'beach']",OOD
8ca9bf545729f229043a26bd19c6303b,a tree that has been struck by a lightning strike,"['tree', 'lightning', 'strike']",OOD
de6f589603b2a58a9c182aef7df15db0,a pink flower on a cactus in the desert,"['flower', 'cactus', 'desert']",OOD
0d05738035163b8fdc63f19a3f136bd3,a plant with green leaves in a garden,"['plant', 'leaves', 'garden']",OOD
cbb2b383f4fd393797f33f36c36714fb,a plant with yellow flowers on a rock,"['plant', 'flowers', 'rock']",OOD
228cf982f2caa0c8cfd97c69e7ce4900,a close up of a field of tall grass,"['close', 'field', 'grass']",OOD
3a46aacb4e91b127ba816cfeccc42d67,a plant with green leaves on the ground,"['plant', 'leaves', 'ground']",OOD
c1a629b504527bdbf764da2abaa9d38c,a green fern plant in a field of grass,"['plant', 'field', 'grass']",OOD
77351354e50a6b0e4197ad2851d11552,a close up of a tree with green and white branches,"['close', 'tree', 'branches']",OOD
de54b1be105864d482ae43db1dc5f07a,a plant growing in front of a tree,"['plant', 'front', 'tree']",OOD
321b8bc72403bf4128cdee49ef93e991,an overgrown yard with a fence and houses in the background,"['yard', 'fence', 'houses', 'background']",OOD
97a337758287540665fead233083a9c6,a close up of a white flower in the grass,"['close', 'flower', 'grass']",OOD
1b3a6f2cd63f65afec9a7577cc42dddb,a plant with green leaves in a field of grass,"['plant', 'leaves', 'field', 'grass']",OOD
791bc55339564945c79a0425854bfb0e,a close up of some green mint plants,"['close', 'mint', 'plants']",OOD
0fd9d4534680ada921e350f3466030a7,a pink piece of paper sitting in a bush,"['piece', 'paper', 'bush']",OOD
c5668cfbc4169b5591244af163011ddb,a tall plant in front of some green ferns,"['plant', 'front', 'ferns']",OOD
3e758334426fb00e76677544032d373a,a small plant with green leaves on a tree stump,"['plant', 'leaves', 'tree', 'stump']",OOD
904ee217ff49f007dccdb6cdc459211d,a close up of green leaves on a plant,"['close', 'leaves', 'plant']",OOD
74895195370213b6873c219803ffe52f,the underside of a red and green umbrella in the woods,"['underside', 'umbrella', 'woods']",OOD
f78ae09689a478a68cfbe130d245942c,a tree that has been eaten by a pine tree,"['tree', 'pine', 'tree']",OOD
944dbf399fcc908db28f2cd8e5ad7581,a close up of a green plant in the woods,"['close', 'plant', 'woods']",OOD
7447723c4eb1be5eb0119e12ef65b632,a group of green plants growing in the dirt,"['group', 'plants', 'dirt']",OOD
92548fc7e201074a2d489e1ef057708c,a plant with leaves in the grass,"['plant', 'leaves', 'grass']",OOD
cfdceac83ae95c858438e4d9e5c630e9,a field of tall grass with trees in the background,"['field', 'grass', 'trees', 'background']",OOD
c59b47eb3cd3fee5bb7f3e4f9b0899ee,a close up of yellow flowers on a tree,"['close', 'flowers', 'tree']",OOD
2648870ff19feb0b332f0ffa0d2bee68,a prickly pear cactus in the wild,"['pear', 'cactus', 'wild']",OOD
469099cf79a159bdce57447146edb828,a yucca plant with flowers on a rock,"['plant', 'flowers', 'rock']",OOD
ed38bfd346f4112d3df65c62ff666bd7,a close up of a green plant with leaves,"['close', 'plant', 'leaves']",OOD
c1c1176800fb7fefb4a43e8a9729bdc7,a small purple flower with two buds on a stem,"['flower', 'buds', 'stem']",OOD
5fced66956d659295151f9d1b86941cf,two pink flowers in the grass,"['flowers', 'grass']",OOD
543bf9a8000480f29453433f81ab8eeb,a cluster of berries on a tree branch,"['cluster', 'berries', 'tree', 'branch']",OOD
71681d0ff03969a1b392b1b2a272faae,a plant with white flowers growing in the forest,"['plant', 'flowers', 'forest']",OOD
575ce8e9a67467dfa2ed7fb533e12d1e,a green plant with purple and yellow flowers,"['plant', 'flowers']",OOD
8e4c2ff9f056f5a94f01d2a608462a5e,a close up of some white flowers in the grass,"['close', 'flowers', 'grass']",OOD
8e9984d33ec438fe657f4db1ea6ecd9f,a large green plant in the grass,"['plant', 'grass']",OOD
584653c1393519d85237517638111700,a group of green plants growing in the dirt,"['group', 'plants', 'dirt']",OOD
43e34ed33c8ef1f0e52629d217eaec45,a tree with a bunch of green leaves on it,"['tree', 'bunch', 'leaves']",OOD
c501374562b83227236429983a803260,a tree with many brown leaves on it,"['tree', 'leaves']",OOD
23518925c0ad00e99cd67853eb800b28,a small tree in the middle of the forest,"['tree', 'middle', 'forest']",OOD
c63b4932debe1689c4519de80c47caab,a close up of a plant with green leaves,"['close', 'plant', 'leaves']",OOD
39cd6d05edf87269345d6be3db2742e7,three purple flowers in a field of grass,"['flowers', 'field', 'grass']",OOD
