,ImageID,Caption,Nouns,Type
42,012c4e4fe58e3755e6ddcc317857a92c,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
43,012ed081283c89d656e5d9a5beafd77e,biological species on a tree.,"['species', 'tree']",OOD
44,01333cc5b2d910d56737eed012b0465a,biological genus on a sunny day.,"['genus', 'day']",OOD
45,0137067128027c9e7474ca0cc61c4fd9,biological phylum and lichen on a tree trunk.,"['phylum', 'tree', 'trunk']",OOD
46,013c1040c1103e4b4419b1122409cfbe,plants growing on a rock.,"['plants', 'rock']",OOD
47,013d81105a08d262f5e02a4b841457e8,a close - up of the flower.,"['close', 'up', 'flower']",OOD
48,0143528a54f9e3bcdc3c0efc7ef5b322,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
49,014f6e752721257cb2dc6006aa98eb59,a close - up of the flower.,"['close', 'up', 'flower']",OOD
50,0157086aeb1f94f6297685aad3749e76,wild flowers in the mountains.,"['flowers', 'mountains']",OOD
51,015aeb9ced65873af5e5eff2c83e20c6,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
52,0163531f3d29340609bb7a9126853089,biological species in the garden.,"['species', 'garden']",OOD
53,01639c6e3bb6752e8e00c68025269fa1,biological species perched on a branch.,"['species', 'branch']",OOD
54,01653097d8a12f1b836250d1f4a3c92d,red berries on a tree in the rainforest.,"['berries', 'tree', 'rainforest']",OOD
55,017c000530e0813088c6123a02b73c58,plants growing out of the ground.,"['plants', 'ground']",OOD
56,017df2886428f68b7a2339419fe12318,biological genus in the forest.,"['genus', 'forest']",OOD
57,01810faa3f77eee6c248b936d8f6f81e,biological genus growing on a tree.,"['genus', 'tree']",OOD
58,0187a372d76a7149951307297943cd82,this is the first time i've seen red berries on this plant.,"['time', 'berries', 'plant']",OOD
59,018d8e7e46d146915547e45dc9a8d050,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
60,0198d28e7041ab0ed2e536d661536fed,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
61,019fe4dbc16b29c7d2f901c15087d8ec,close up of the plant.,['plant'],OOD
62,01a54f7a3072a28a3d76d9b7a3b89091,a close - up of the pattern on the wall.,"['close', 'up', 'pattern', 'wall']",OOD
63,01a73296fd7d08c446bc8e71bba85681,yellow flowers on the ground.,"['flowers', 'ground']",OOD
64,01abb69549f7341a083098ceef2df7a2,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
65,01acf010c1f62de96a7a926861d6dc54,yellow flowers in the meadow.,"['flowers', 'meadow']",OOD
66,01b0592932db641fff275d1fc979a8e7,sunset through the trees on the trail.,"['sunset', 'trees', 'trail']",OOD
67,01b222586a2ed246ca00239c63ce8c03,purple flowers in the garden.,"['flowers', 'garden']",OOD
68,01b36f434b8113ebad7d65f99797b92b,the first flower of the season.,"['flower', 'season']",OOD
69,01bb42b316146f56f2694645b090244f,biological species in bloom along the trail.,"['species', 'bloom', 'trail']",OOD
70,01c06d4924df85da470bf364114db348,biological species in the spring.,"['species', 'spring']",OOD
71,01c1bc5fcfd8878585691c4e2585ec3c,biological species growing on a fallen tree.,"['species', 'tree']",OOD
72,01c5b2987649a2f09059e95c75fa9f95,biological genus in the forest.,"['genus', 'forest']",OOD
73,01d65d29125a7b7e4cdffcddd24b2bcd,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
74,01d791abc4b341289aabe8eba2a0631e,biological species growing in the forest.,"['species', 'forest']",OOD
75,01f132a43038514765be0f8c1186dd25,biological species on the side of the road.,"['species', 'side', 'road']",OOD
76,01f7329c106d0b3dc4e112304b1b3218,a close - up shot of the flowers.,"['up', 'shot', 'flowers']",OOD
77,020f36e31cdde9b6a66107f2f547d7f1,the leaves of the plant.,"['leaves', 'plant']",OOD
78,02151ee391545d457ca32f7bfa5059d0,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
79,0215b0d5374fa853b1dbc7582e09b3d5,wild flowers in the mountains.,"['flowers', 'mountains']",OOD
80,022158e7c488746f09877798e6fe288d,purple flowers in the garden.,"['flowers', 'garden']",OOD
81,022d65dffb051e91200a7fcae6272088,biological species in the wetland.,"['species', 'wetland']",OOD
82,0241be6add9882072ca621ca9bc33673,smallest plant in the world - photo #.,"['plant', 'world', 'photo', '#']",OOD
83,02460a1a2b4b54f11f6a9fdaf7c161fd,flowers of the - tree white color spring morning.,"['flowers', 'tree', 'color', 'spring', 'morning']",OOD
84,0247e89ca7149a4b30e27b72c985b663,close - up of a grass flower.,"['up', 'grass', 'flower']",OOD
85,02570af98a16bacb337bda558d189b54,biological species on the trail.,"['species', 'trail']",OOD
86,02597f76237cdf16537d2a8be16b37f0,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
87,025b208131906cc5ae140daebc89200e,biological species is one of my favorite plants.,"['species', 'plants']",OOD
88,025fa8f314cb440e4c1e6a8b916255af,biological species on the trail.,"['species', 'trail']",OOD
89,0267430d38fa1de12399e1f7d9480672,the trunk of the tree.,"['trunk', 'tree']",OOD
90,026ae54ef0ec1f5b542d5e326c658d53,red tree on the shore.,"['tree', 'shore']",OOD
91,026f8136e616df8a89ff70c813bde85d,autumn leaves on a tree.,"['autumn', 'tree']",OOD
92,02794c9ce838b49569a32e7af534bd7d,close - up of a grass flower in the wind.,"['up', 'grass', 'flower', 'wind']",OOD
93,0287f9df1d8e242ed0eb27613bf7e15c,biological species in a tree.,"['species', 'tree']",OOD
94,028a7cfdab42d2839ef490dcf5e07160,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
95,028a8385728874e344eb05ab60646a85,biological genus is an evergreen shrub that blooms in late summer and early fall.,"['genus', 'evergreen', 'shrub', 'blooms', 'summer', 'fall']",OOD
96,02a001a9c4fdf6d83402c26abe004625,this is what the trees look like in the fall.,"['trees', 'fall']",OOD
97,02a6b06784860bd27d6a672781a4e8ae,biological species is a very common plant in the area.,"['species', 'plant', 'area']",OOD
98,02c3e6366b905aac7534bed50b99c65c,butterfly on a flower in the garden.,"['flower', 'garden']",OOD
99,02dd08de6041941bdf48c1c40b8de825,biological species is one of the most beautiful flowers in the world.,"['species', 'flowers', 'world']",OOD
100,02e08de0f5f5d0badbfda708189b4003,biological genus in the garden.,"['genus', 'garden']",OOD
101,02f7f00e63b8151df32cd286c2e6b213,biological species in the forest.,"['species', 'forest']",OOD
102,0300306775444b874b22e47e907d77c8,biological species in the snow.,"['species', 'snow']",OOD
103,030a011488e160516c3b957a330563d4,a close - up of a person's hand picking cherries from a tree.,"['close', 'up', 'person', 'hand', 'cherries', 'tree']",OOD
104,030bb404d1f80036cbe99ab64bb58862,biological species is one of the most popular flowers.,"['species', 'flowers']",OOD
105,03122480e1b4cfd8463df40d183de3ba,a close up of the flower.,"['close', 'flower']",OOD
106,03149ddf4d017702907d0ff3f4c339ba,orange trees in the morning sun.,"['trees', 'morning', 'sun']",OOD
107,031a517d2345d00cf86f4a0ace61a212,fresh mint leaves in the garden.,"['mint', 'leaves', 'garden']",OOD
108,031b84443c04970ab29c9dc3d72be469,biological species in the forest.,"['species', 'forest']",OOD
109,03227c8bf7e1c99b48c5f66cb3b7a777,butterfly on a green leaf.,['leaf'],OOD
110,03274858a619dbc5c13c87057666ff37,looking up at the sky through the branches of a tree.,"['sky', 'branches', 'tree']",OOD
111,032ba37238f130546248a483b92c9bae,flowers growing in the sand dunes.,"['flowers', 'sand', 'dunes']",OOD
112,0330d1a9950732f77010d961ef61dd19,flowers growing in the grass.,"['flowers', 'grass']",OOD
113,033627c29c0f2b7342f4262963a2290d,biological genus in the fall.,"['genus', 'fall']",OOD
114,033727c46c5447361d8724706b489cfe,biological genus in the desert.,"['genus', 'desert']",OOD
115,033d693188b710b9655a428ce8fe5269,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
116,03411c925d2aa9dc492be6ef4964bfe4,biological species in the yard.,"['species', 'yard']",OOD
117,034ebfdb12033c2278f516a4017d69e8,biological species growing in the garden.,"['species', 'garden']",OOD
118,0365a4d3a3f62e7725a3be701f29cab7,a close - up of the flower.,"['close', 'up', 'flower']",OOD
119,0366095f99d337c8bf2db9380d9b944a,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
120,0367d1aae569e178ea82e31cf9ec1a11,biological species in the rainforest.,"['species', 'rainforest']",OOD
121,0367f4f5c2dbcec237b1662198fda701,biological species growing in a field.,"['species', 'field']",OOD
122,036b9ada7d919e158827297db48f115f,wild flowers in the garden.,"['flowers', 'garden']",OOD
123,037064f7b09184161dc6fefddebc4a60,a close - up of the flower.,"['close', 'up', 'flower']",OOD
124,03821a56ece863d2c126a6f2099f4591,biological species growing on the side of the trail.,"['species', 'side', 'trail']",OOD
125,03830a67e36d3d4556608a0c79306906,biological species growing in the garden.,"['species', 'garden']",OOD
126,03865823ef48a454fdb9791df84ba494,a close - up of the leaf.,"['close', 'up', 'leaf']",OOD
127,03876eac90c6919e1ad66bab1d4b45a7,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
128,0387fcc29b333ac313bb6ac79b123420,biological species in a tree.,"['species', 'tree']",OOD
129,038dfdd177eb928bbc74885cbb563c62,a close up of the flowers.,"['close', 'flowers']",OOD
130,0399794655c4f1775b677e9f5e820f96,wild flowers in the forest.,"['flowers', 'forest']",OOD
131,039f8cd205651abe76ef00e888bd5e78,the trunk of the tree.,"['trunk', 'tree']",OOD
132,03a0785d7bef8f1bd5b123fd0e01d342,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
133,03a60f3f32d96f68c489541f6a7a4a89,biological species in the forest.,"['species', 'forest']",OOD
134,03ac63173106c40841361b77d3552400,biological species growing in a field.,"['species', 'field']",OOD
135,03b125275a7d1267abd72632553af62b,yellow flowers in the garden.,"['flowers', 'garden']",OOD
136,03b23c4cf6a3dfee9e565e8ff7282eff,a close - up of the seed pods.,"['close', 'up', 'seed', 'pods']",OOD
137,03b713ccba69f211649c43e4c82ffc34,wild flowers in the meadow.,"['flowers', 'meadow']",OOD
138,03bc82655ca27f7b6a2a9d2ca97f9de3,biological phylum and lichen growing on the ground.,"['phylum', 'ground']",OOD
139,03c709059620492afab9d1e33abab6ac,biological species is one of my favorite plants.,"['species', 'plants']",OOD
140,03c871ed9e0292ddb204a30ff6e941e9,one of the many waterfalls along the trail.,"['waterfalls', 'trail']",OOD
141,03e1f183af0a3a699280341d213c1637,wild flowers in the woods.,"['flowers', 'woods']",OOD
142,03f83e3a293a9c8f791a70f49fd6ea5d,this plant has been in my yard for a few months now.,"['plant', 'yard', 'months']",OOD
143,040486555da4f58eb0f192f582421afa,close up of a dandelion flower.,"['dandelion', 'flower']",OOD
144,04062cfc2f940d17a554c3cbbb10ad66,raindrops on the green leaves of the plant.,"['raindrops', 'leaves', 'plant']",OOD
145,0408145ee7649d6a16b1bdb794be15bb,biological species is one of my favorite plants.,"['species', 'plants']",OOD
146,04092577db110180163529b4bf49f236,a close - up of the seedlings.,"['close', 'up', 'seedlings']",OOD
147,040b41f25918ebc1def1e54407fcc02c,purple flowers in the forest.,"['flowers', 'forest']",OOD
148,0415b54ce823db19ba9001f4990fb135,some of the flowers in the meadow.,"['flowers', 'meadow']",OOD
149,041c4584715dd4b9254645b54dbf0319,view of the river from the bridge.,"['view', 'river', 'bridge']",OOD
150,04251288a1136e0ce88c55d1da84d7e1,biological species in the garden.,"['species', 'garden']",OOD
151,0428412ca2f25a16670a885bc06399c3,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
152,042874b12b35f433410f887c9fd195a5,birds on a tree in the park.,"['birds', 'tree', 'park']",OOD
153,04326bbb05606af6710a6653dab8eb27,this is the first flower i've ever seen in my life.,"['flower', 'life']",OOD
154,043d5400f1ed94bf0a4830c2b5984879,biological species in the forest.,"['species', 'forest']",OOD
155,04459477abfbaddfccccb123cb6765ab,biological species on a plant.,"['species', 'plant']",OOD
156,0450cb568d428d636ae6a066a494b8af,biological species in the garden.,"['species', 'garden']",OOD
157,04522b4623de5f24c8cc2bc5dabe6840,a close - up of the leaves and flowers of biological species.,"['close', 'up', 'leaves', 'flowers', 'species']",OOD
158,045b1748985d94df1fae3079b063b1e5,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
159,04631d25edd7e270c8879029e144e63e,biological species in the forest.,"['species', 'forest']",OOD
160,0470a2b7a64c7c13e39872c3df816f7c,biological species growing in the garden.,"['species', 'garden']",OOD
161,0474fff8359d01bd0db2f68239683190,yellow flowers in the garden.,"['flowers', 'garden']",OOD
162,0478a3f95eb33c83ca1772cbc4fec01a,the first flower of the season.,"['flower', 'season']",OOD
163,0479f611dfd5a1bbf2cd81dffe509bd4,biological species in a pine tree.,"['species', 'tree']",OOD
164,047ff5be05e295b01df0a754b77c8fef,a flower in the middle of the trail.,"['flower', 'middle', 'trail']",OOD
165,04806b63a950e2ebe8e55cbc02956037,this is the first flower i've ever seen in my garden.,"['flower', 'garden']",OOD
166,048f9ca546f8123fb4e23cea7bc7b3b4,this is the first flower i've ever seen in my garden.,"['flower', 'garden']",OOD
167,048fd85769c02fcfa6edcd5af0f038db,view from the window of our room.,"['view', 'window', 'room']",OOD
168,04940dbe1876c7cea053970970282fb7,biological genus in the rainforest.,"['genus', 'rainforest']",OOD
169,0495045695f50f95f02bb9e933f52130,biological species in the desert.,"['species', 'desert']",OOD
170,0499a632b288f88e6de2c122b53b2933,a close - up of the underside of the leaf.,"['close', 'up', 'underside', 'leaf']",OOD
171,049df606d1940d166b569dbba492c84f,biological species on the ground.,"['species', 'ground']",OOD
172,04c09dd539e99b263509f9961ac57f95,a close up of the flowers.,"['close', 'flowers']",OOD
173,04c2f5673579781eec649c65557a5e64,this is the first flower i've ever seen in my garden.,"['flower', 'garden']",OOD
174,04d33902b5274fda5382a8860ee47000,biological genus in the garden.,"['genus', 'garden']",OOD
175,04d41b68ef941b97c405fd72e0fc0c35,wild flowers in the forest.,"['flowers', 'forest']",OOD
176,04d6a2833da0b9e9b2339554b4c50e62,a tree growing on the side of the road.,"['tree', 'side', 'road']",OOD
177,04dd0cc020bbdbf165ee2a6a76f3e05f,flowers growing on the rocks.,"['flowers', 'rocks']",OOD
178,04e520d70e42182d5177a706c3d6ec88,wild flowers in the forest.,"['flowers', 'forest']",OOD
179,04e8415001cb8c9f44faddc1d998d8cc,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
180,04ecc77ecd592376a3973236b2b2c638,biological species growing in the field.,"['species', 'field']",OOD
181,04eee6e511251779dcf29531928ac813,close - up of a red pomegranate on a plant.,"['up', 'pomegranate', 'plant']",OOD
182,04ef23dd8072218e4e53ee8232ced8c5,close up of a purple flower.,['flower'],OOD
183,04f2c67b221fe9c890edea6286391263,this is the first time i've seen these flowers in bloom.,"['time', 'flowers', 'bloom']",OOD
184,04f5c31d8eef98e4d297563e846c2e74,biological species in the forest.,"['species', 'forest']",OOD
185,04f99644b538b9ada1bfa6acb69d171a,red berries on a tree.,"['berries', 'tree']",OOD
186,04fd6115aa634f200b1ae9bc1f20d97f,biological species in the garden.,"['species', 'garden']",OOD
187,04fdeb1c9bbd0c8a051e6f7008fc0d3a,flowers in the desert near the border.,"['flowers', 'desert', 'border']",OOD
188,0537f0f72895d8c2fcc6ce651167de43,yellow flowers in the garden.,"['flowers', 'garden']",OOD
189,0538b51e5d1c2eedd99a24b77c31acea,biological species in the spring.,"['species', 'spring']",OOD
190,053c366200031c3f3be412e52b19c144,biological species growing in the garden.,"['species', 'garden']",OOD
191,0554844ce9f341c91e0a9d3dbe6ef6c9,biological species in the garden.,"['species', 'garden']",OOD
192,055726f2a0decd124e631ba2f4bec3c9,biological species in bloom in the desert.,"['species', 'bloom', 'desert']",OOD
193,055cb47c8c23da35cfec593bfc411a7e,biological species is one of the most popular plants.,"['species', 'plants']",OOD
194,0569bb406ec1a0b846058686b8b0d993,biological species in the spring.,"['species', 'spring']",OOD
195,056d5b107c461940d896d90cbbe9762e,some of the flowers in the garden.,"['flowers', 'garden']",OOD
196,0574e41d3641dbb635a9de9da4ecbd01,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
197,057a0a343887f603e328114f042d0da7,pink flower on the side of the road.,"['flower', 'side', 'road']",OOD
198,057acbba67acdcd660f9bcf85e5acb8b,biological species in the garden.,"['species', 'garden']",OOD
199,057bcbfd54d077877520513464f2dd0f,close - up of a cluster of ripe olives hanging from a tree branch.,"['up', 'cluster', 'olives', 'tree', 'branch']",OOD
200,057d40725cd931443ce2da14e5578dec,wild flowers in the mountains.,"['flowers', 'mountains']",OOD
201,05852e704e96fafbfe4ee639bfbcfc1d,biological species in the forest.,"['species', 'forest']",OOD
202,058756c339642f959fc412f3b9d82a66,this was the first time i've seen this kind of fungus growing on a tree.,"['time', 'kind', 'fungus', 'tree']",OOD
203,0588d499d24ba7ab665afd065acf07b3,a close up of the flowers.,"['close', 'flowers']",OOD
204,058dde32645a7372dc802680997874af,biological species on a branch.,"['species', 'branch']",OOD
205,0593bc406735dbe3fbcdb76457cd502f,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
206,05956e9d18174ac836d8e96b9102e448,close up of pink flowers on a tree.,"['flowers', 'tree']",OOD
207,059bfa4255212551f3f5f546bb6f305a,yellow flowers in the garden.,"['flowers', 'garden']",OOD
208,059e4dbc715235b9737380fb8e0ea992,biological genus in the garden.,"['genus', 'garden']",OOD
209,05a124b3037f7b71c494d7c427bb539f,biological genus is a genus of flowering plants in the family.,"['genus', 'genus', 'plants', 'family']",OOD
210,05a13ab6875b18350102ed2142c0bd67,some of the cacti on the trail.,"['cacti', 'trail']",OOD
211,05a2652c3c7a0b6866c9d57c2bcf3bc3,biological species growing in the garden.,"['species', 'garden']",OOD
212,05a369906ac132adcee71d65cc27ac00,this plant is very similar to the one i had growing in my backyard.,"['plant', 'one', 'backyard']",OOD
213,05a4b6c4998f682db64882de4c52dc66,the leaves are starting to change color in the fall.,"['leaves', 'color', 'fall']",OOD
214,05a63bb89a3807d0e429e5d199c29495,biological species is one of the few plants that can grow well in the rainforest.,"['species', 'plants', 'rainforest']",OOD
215,05b397bc94d74f25c29ed7e354b8f778,close - up of a green plant.,"['up', 'plant']",OOD
216,05c23ae4e5e12db3a378f80eadd3afcc,biological species growing in the garden.,"['species', 'garden']",OOD
217,05d323f17c4eab6713280578f1393e1b,biological species in the desert.,"['species', 'desert']",OOD
218,05d7db0e00ace7c3b33fd3f190338de6,biological species growing in the garden.,"['species', 'garden']",OOD
219,05d887f0928781c04129ea8966e1b569,biological species in the spring.,"['species', 'spring']",OOD
220,05d8ea02f2ec31fb01d04f30a2a06f22,a closer look at the flowers.,"['look', 'flowers']",OOD
221,05d9ceaf8aab6b26202e9b65282e2154,biological species growing on a rock.,"['species', 'rock']",OOD
222,05ddfa7c7b88ea117383bb34a4d9e8c0,a close up of the flowers.,"['close', 'flowers']",OOD
223,05e5a86f5574c5e4c05ae841b3b87359,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
224,05ee0841a2cb757670548fad1cc6e56b,sketch of a pine tree.,"['sketch', 'tree']",OOD
225,060043cf6408fd537d047c41113a88c3,biological species is a common shrub.,"['species', 'shrub']",OOD
226,06026d835cedb0033130094270eaacc3,biological genus in the spring.,"['genus', 'spring']",OOD
227,0608c34563057db6b3f719cb86d6ad0d,biological species in a field.,"['species', 'field']",OOD
228,0615a5fa08fbb082bc73398ff7119211,biological species in the desert.,"['species', 'desert']",OOD
229,06216bf6ac23198740b169b62ccc5387,biological genus is one of the most beautiful flowers in the world.,"['genus', 'flowers', 'world']",OOD
230,0622cdee8d1abb2bbf46e456b5e513d4,the first leaf of the season.,"['leaf', 'season']",OOD
231,062e42a12de03e7b9d51846fd552715a,biological genus in the middle of the desert.,"['genus', 'middle', 'desert']",OOD
232,062f080d098ddb7172964fa14738c83e,biological species in the desert.,"['species', 'desert']",OOD
233,064911693c695f0814b5802319c399c8,panning shot of a pine tree in a forest.,"['shot', 'tree', 'forest']",OOD
234,064bf8fab8c3322ee07908b307edb541,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
235,064d49c90914881868d8d5c4568d6342,biological genus growing on the side of the trail.,"['genus', 'side', 'trail']",OOD
236,06502023c2d10f7e45b2709d841a9c04,wild flowers in the forest.,"['flowers', 'forest']",OOD
237,065030ee8a451f942ec953915674f590,biological species is one of the easiest plants to grow.,"['species', 'plants']",OOD
238,065179752e47822166b977e78ca8ea3f,biological species growing on the side of a road.,"['species', 'side', 'road']",OOD
239,06578213576dc7ac543c41836d6adbd6,biological species is one of the most popular trees in the area.,"['species', 'trees', 'area']",OOD
240,065b9f620092ff6f2dead87d83f92568,biological genus growing on a tree.,"['genus', 'tree']",OOD
241,065e3ed1b41ff94af33588b23bf50bb3,this is what the tree looks like from the top.,"['tree', 'top']",OOD
242,0661aa67421f84ebaa5dcd5b78048f0b,a close - up of the flower.,"['close', 'up', 'flower']",OOD
243,0662e34f5d55267bce23e5f39bb2bdad,biological species on a tree.,"['species', 'tree']",OOD
244,0667e7975f8e18773b6820c0518ae1db,lily pads on the bank of the river.,"['pads', 'bank', 'river']",OOD
245,066e4ec4d333d32560f106af0f655d07,biological species in a tree.,"['species', 'tree']",OOD
246,06711ad979edf57fce452889d2f55252,biological species in the desert.,"['species', 'desert']",OOD
247,0679683952a06ec7263dc99621f6977d,this is the first time i've seen a beetle in my garden.,"['time', 'beetle', 'garden']",OOD
248,06866f69c5ae5b4e7fca84409dcdd9ac,blue flowers in the forest.,"['flowers', 'forest']",OOD
249,068abe14f9daba4938a85f2b244ca015,close up of a flower.,['flower'],OOD
250,068f1d8ac8c5401e554260328a7cb55b,biological genus in the rainforest.,"['genus', 'rainforest']",OOD
251,06964feea042ccc4c8dec83e36d9c965,cherry blossom in the spring.,"['cherry', 'blossom', 'spring']",OOD
252,069bedb71a92f2722c227b89958a747b,wild flowers in the meadow.,"['flowers', 'meadow']",OOD
253,069c433b7a8663049f41c76dea472384,biological genus growing on a tree.,"['genus', 'tree']",OOD
254,069d10a3442f39db50d6cce826e20176,close up of the plant.,['plant'],OOD
255,069fab9fee3a766e9072af52853fee4e,a close up of the flowers.,"['close', 'flowers']",OOD
256,06a08d4cad72cf5f7162129d8a93e71c,a cluster of berries on a tree.,"['cluster', 'berries', 'tree']",OOD
257,06ad8dfd0c02553ffac3f0874691be1c,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
258,06b3d2e1591208b6f0863655870e5a5b,spring flowers in the woods.,"['spring', 'flowers', 'woods']",OOD
259,06b95a41a3de407a84ade350df019b49,biological species in the rainforest.,"['species', 'rainforest']",OOD
260,06bc4b4c004e8ed83abb0b6c0c05035f,biological species growing in the garden.,"['species', 'garden']",OOD
261,06c7050e42d74aefbc167579e8c665d7,biological species in the grass.,"['species', 'grass']",OOD
262,06c971e763b69e642b921cf012fb45ba,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
263,06cbdee7769482fce4a4f70a3575adea,biological species in the rainforest.,"['species', 'rainforest']",OOD
264,06d1e543daf4790f611d99453aba1fc9,wild grasses growing in a field.,"['grasses', 'field']",OOD
265,06d89b2fb0f9711a9d839bf4c2878fe3,biological phylum growing on the sand.,"['phylum', 'sand']",OOD
266,06dc1cf80dc4f39828a1d96b0798b532,yellow flowers in the garden.,"['flowers', 'garden']",OOD
267,06e6ca0341946bab71a45f97001b4d16,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
268,06f3a73cdf7fd55edfb207b184a88efc,biological species in the forest.,"['species', 'forest']",OOD
